player,NO,Minutes,Starter,2Pt,3Pt,FT,OffReb,DefReb,Ass,Foul,Steal,TO,Block,Dunk,Fouled,Fast_break,Scores,team,date
路易斯-斯科拉,4,28,是,7-17,2-4,2-2,4,10,2,2,3,1,0,2,2,0/0,22,上海,2018-11-16
罗旭东,13,34,是,4-6,0-2,3-4,0,2,5,2,0,0,0,0,2,0/0,11,上海,2018-11-16
蔡亮,1,32,是,3-7,0-2,1-2,0,4,2,5,0,2,0,0,1,0/0,7,上海,2018-11-16
王潼,25,15,是,2-3,0-0,1-2,0,2,0,1,0,1,1,0,3,0/0,5,上海,2018-11-16
唐子豪,7,15,是,0-3,1-3,0-0,1,1,2,1,2,1,0,0,0,0/0,3,上海,2018-11-16
弗雷戴特,32,42,否,8-12,6-12,2-2,0,6,8,2,4,2,0,0,5,0/0,36,上海,2018-11-16
刘炜,8,28,否,7-12,0-1,0-0,1,0,5,0,0,0,0,0,1,0/0,14,上海,2018-11-16
张兆旭,23,32,否,6-6,0-0,0-0,4,3,0,4,0,0,1,2,1,0/0,12,上海,2018-11-16
黄旭,3,0,否,0-0,1-1,0-0,0,0,0,1,0,1,0,0,0,0/0,3,上海,2018-11-16
卢伟,12,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,上海,2018-11-16
施宇晨,47,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,上海,2018-11-16
孟令源,5,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,上海,2018-11-16
罗智,27,3,否,0-2,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,上海,2018-11-16
罗汉琛,33,0,否,0-0,0-0,0-0,0,0,0,0,1,0,0,0,0,0/0,0,上海,2018-11-16
董瀚麟,16,5,否,0-1,0-0,0-0,0,0,0,0,0,0,1,0,0,0/0,0,上海,2018-11-16
黄世乾,21,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,上海,2018-11-16
朱瀛,19,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,上海,2018-11-16
颜鹏,0,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,上海,2018-11-16
田雨晨,11,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,上海,2018-11-16
贾森-汤普森,1,44,是,17-24,0-4,1-3,3,12,5,2,0,2,1,4,4,0/0,35,四川,2018-11-16
富兰克林,11,39,是,6-10,0-5,9-11,2,7,6,2,2,4,1,2,9,0/0,21,四川,2018-11-16
陈辰,32,26,是,5-6,0-1,0-2,2,0,0,2,0,3,0,0,2,0/0,10,四川,2018-11-16
黄荣奇,7,25,是,1-3,2-4,0-0,1,3,5,1,0,4,0,0,0,0/0,8,四川,2018-11-16
曾文鼎,76,13,是,0-0,1-3,0-0,0,0,0,0,0,0,0,0,1,0/0,3,四川,2018-11-16
陈晓东,30,24,否,4-6,1-2,0-0,0,1,2,1,1,1,0,1,1,0/0,11,四川,2018-11-16
孟达,12,32,否,1-4,2-5,0-0,0,3,3,1,1,1,0,0,0,0/0,8,四川,2018-11-16
王政博,16,23,否,0-1,1-1,0-0,1,3,1,3,0,0,0,0,1,0/0,3,四川,2018-11-16
杨越,6,0,否,1-1,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,2,四川,2018-11-16
李柯七,17,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,四川,2018-11-16
钟一帆,20,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,四川,2018-11-16
景菡一,19,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,四川,2018-11-16
莫蒙尘,10,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,四川,2018-11-16
胡林森,8,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,四川,2018-11-16
左朕年,13,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,四川,2018-11-16
闵庆飞,21,7,否,0-1,0-1,0-0,0,1,0,3,1,0,0,0,0,0/0,0,四川,2018-11-16
袁振梁,55,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,四川,2018-11-16
侯天一,14,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,四川,2018-11-16
张海阔,3,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,四川,2018-11-16
