player,NO,Minutes,Starter,2Pt,3Pt,FT,OffReb,DefReb,Ass,Foul,Steal,TO,Block,Dunk,Fouled,Fast_break,Scores,team,date
方硕,8,35,是,2-6,5-8,0-0,0,4,2,4,1,4,0,0,3,0/0,19,北京,2018-10-21
汉密尔顿,41,38,是,3-6,3-5,2-3,2,7,1,4,0,2,1,0,2,0/0,17,北京,2018-10-21
王骁辉,33,26,是,0-3,1-2,0-0,1,1,0,4,2,1,0,0,1,0/0,3,北京,2018-10-21
朱彦西,13,12,是,0-3,0-1,0-0,1,1,0,4,1,1,0,0,1,0/0,0,北京,2018-10-21
张才仁,16,6,是,0-2,0-0,0-0,0,1,0,0,1,0,0,0,1,0/0,0,北京,2018-10-21
艾伦-杰克逊,7,31,否,8-17,0-1,4-5,1,4,10,2,5,1,0,0,3,0/0,20,北京,2018-10-21
常林,23,25,否,4-6,0-3,3-4,2,3,1,4,1,0,0,0,3,0/0,11,北京,2018-10-21
刘晓宇,10,22,否,2-5,2-5,0-0,0,5,2,3,2,3,0,0,4,0/0,10,北京,2018-10-21
翟晓川,20,15,否,1-2,0-1,2-2,1,1,0,0,0,0,0,0,1,0/0,4,北京,2018-10-21
段江鹏,11,6,否,0-1,0-0,0-0,0,0,0,1,0,0,0,0,0,0/0,0,北京,2018-10-21
张松涛,35,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,北京,2018-10-21
丘天,19,19,否,0-0,0-1,0-2,2,0,0,1,2,0,0,0,2,0/0,0,北京,2018-10-21
王旭,4,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,北京,2018-10-21
王鑫磊,31,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,北京,2018-10-21
赵晏满,1,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,北京,2018-10-21
赵梓壹,17,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,北京,2018-10-21
张卓,22,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,北京,2018-10-21
段鸿瑞,29,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,北京,2018-10-21
陈赞宇,21,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,北京,2018-10-21
德莱尼,23,34,是,1-6,4-7,5-6,1,4,3,4,2,7,0,0,7,0/0,19,广东,2018-10-21
周鹏,11,35,是,4-5,1-5,3-6,1,5,2,4,2,4,2,0,6,0/0,14,广东,2018-10-21
赵睿,10,35,是,0-1,3-3,2-4,1,3,2,1,0,1,0,0,2,0/0,11,广东,2018-10-21
易建联,9,33,是,3-9,0-2,4-6,3,9,0,1,3,2,0,2,4,0/0,10,广东,2018-10-21
任骏飞,20,27,是,0-3,0-2,3-4,7,2,3,4,0,3,1,0,2,0/0,3,广东,2018-10-21
威姆斯,13,30,否,5-12,0-4,7-8,2,5,2,0,2,2,0,0,6,0/0,17,广东,2018-10-21
杜润旺,18,18,否,1-1,3-5,0-0,0,2,1,3,0,0,0,0,0,0/0,11,广东,2018-10-21
胡明轩,1,4,否,1-3,0-0,0-0,0,1,0,1,0,0,0,0,0,0/0,2,广东,2018-10-21
孟铎,3,12,否,0-0,0-0,0-0,0,0,1,2,0,0,0,0,0,0/0,0,广东,2018-10-21
刁成灏,27,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,广东,2018-10-21
曾繁日,22,1,否,0-0,0-0,0-0,0,1,0,0,0,0,0,0,0,0/0,0,广东,2018-10-21
万圣伟,51,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,广东,2018-10-21
苏伟,12,5,否,0-1,0-0,0-0,2,1,1,2,0,1,0,0,0,0/0,0,广东,2018-10-21
纪祥,39,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,广东,2018-10-21
徐杰,2,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,广东,2018-10-21
王薪凯,5,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,广东,2018-10-21
