player,NO,Minutes,Starter,2Pt,3Pt,FT,OffReb,DefReb,Ass,Foul,Steal,TO,Block,Dunk,Fouled,Fast_break,Scores,team,date
威尔-阿拉基,23,45,是,6-10,2-6,4-6,1,1,9,3,1,1,0,0,5,0/0,22,北控,2018-02-03
马布里,3,40,是,6-8,2-9,1-2,4,5,1,1,1,1,0,0,3,0/0,19,北控,2018-02-03
于梁,11,18,是,3-4,1-2,1-1,1,3,0,0,1,1,0,0,2,0/0,10,北控,2018-02-03
杨庚霖,10,4,是,0-1,0-0,0-0,0,0,1,1,0,0,0,0,1,0/0,0,北控,2018-02-03
许梦君,9,4,是,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,北控,2018-02-03
杨敬敏,6,35,否,5-6,4-8,3-3,0,2,3,4,0,1,0,0,3,0/0,25,北控,2018-02-03
兰多夫,42,31,否,7-11,0-9,5-6,1,7,2,4,0,3,1,2,4,0/0,19,北控,2018-02-03
王征,28,41,否,7-10,0-0,0-0,7,8,0,3,1,1,1,0,0,0/0,14,北控,2018-02-03
贺希宁,0,17,否,1-5,0-1,0-0,2,0,2,1,1,1,0,0,0,0/0,2,北控,2018-02-03
于澍龙,5,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,北控,2018-02-03
贾俊龙,18,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,北控,2018-02-03
李雪松,7,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,北控,2018-02-03
刘博,24,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,北控,2018-02-03
景浩扬,12,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,北控,2018-02-03
王梓旭,1,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,北控,2018-02-03
滕贺麒,6,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,北控,2018-02-03
夏宇彤,13,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,北控,2018-02-03
宋康明,21,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,北控,2018-02-03
刘哲男,16,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,北控,2018-02-03
亚当斯,4,48,是,8-16,5-17,8-9,1,5,13,4,1,2,0,0,7,0/0,39,新疆,2018-02-03
俞长栋,7,40,是,4-8,1-4,0-0,1,6,0,4,1,1,0,0,0,0/0,11,新疆,2018-02-03
孙桐林,55,28,是,2-4,1-1,1-2,5,6,0,2,0,0,1,0,2,0/0,8,新疆,2018-02-03
可兰白克,13,26,是,3-6,0-4,0-0,3,1,4,2,1,2,0,0,0,0/0,6,新疆,2018-02-03
阿不都沙拉木,23,6,是,1-1,0-2,0-0,1,0,0,0,0,0,0,0,1,0/0,2,新疆,2018-02-03
李根,1,37,否,3-5,6-9,1-1,1,1,0,2,0,0,0,0,2,0/0,25,新疆,2018-02-03
奥古斯托-利马,23,24,否,6-7,0-0,4-8,3,7,0,1,0,1,0,1,5,0/0,16,新疆,2018-02-03
西热力江,20,25,否,0-1,2-3,0-0,0,2,1,4,0,1,0,0,0,0/0,6,新疆,2018-02-03
孙鸣阳,21,3,否,0-1,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,新疆,2018-02-03
卡米然斯地克江,2,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,新疆,2018-02-03
刘丰博,3,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,新疆,2018-02-03
李学林,6,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,新疆,2018-02-03
王子瑞,30,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,新疆,2018-02-03
唐才育,18,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,新疆,2018-02-03
