player,NO,Minutes,Starter,2Pt,3Pt,FT,OffReb,DefReb,Ass,Foul,Steal,TO,Block,Dunk,Fouled,Fast_break,Scores,team,date
霍尔曼,32,39,是,11-16,0-0,7-9,4,12,2,2,0,1,2,2,8,0/0,29,天津,2017-11-05
时德帅,23,24,是,1-4,2-6,3-4,1,3,0,2,0,0,0,0,2,0/0,11,天津,2017-11-05
李荣培,7,40,是,3-7,0-2,0-0,0,2,1,2,2,1,0,0,1,0/0,6,天津,2017-11-05
孟祥龙,14,14,是,0-2,0-0,0-0,2,1,1,3,0,2,0,0,0,0/0,0,天津,2017-11-05
史仪,22,7,是,0-0,0-3,0-0,0,1,1,0,0,1,0,0,0,0/0,0,天津,2017-11-05
普-杰特,3,32,否,3-7,4-9,5-6,4,1,7,2,3,0,0,0,6,0/0,23,天津,2017-11-05
张智涵,9,33,否,5-7,2-5,0-0,2,3,3,2,0,1,0,0,1,0/0,16,天津,2017-11-05
田垒,1,20,否,0-2,3-9,0-2,1,3,0,4,1,1,0,0,2,0/0,9,天津,2017-11-05
田野,17,7,否,1-1,0-0,0-0,0,1,5,0,0,0,0,0,0,0/0,2,天津,2017-11-05
张晓阳,21,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,天津,2017-11-05
高森堡,20,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,天津,2017-11-05
徐磊,77,11,否,0-1,0-2,0-0,0,1,1,2,0,0,0,0,1,0/0,0,天津,2017-11-05
张骥,13,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,天津,2017-11-05
金鑫,10,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,天津,2017-11-05
刘伟,12,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,天津,2017-11-05
于刚,77,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,天津,2017-11-05
韩博林,6,7,否,0-0,0-1,0-0,0,0,0,0,0,0,0,0,0,0/0,0,天津,2017-11-05
陈卓,8,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,天津,2017-11-05
阿巴斯,15,40,是,4-9,2-6,8-10,6,7,4,5,1,5,2,0,7,0/0,22,北控,2017-11-05
杨敬敏,6,44,是,4-9,3-9,4-4,1,5,1,3,1,2,0,0,4,0/0,21,北控,2017-11-05
马布里,3,37,是,1-3,4-6,0-0,1,6,6,2,0,1,0,0,0,0/0,14,北控,2017-11-05
王征,28,12,是,1-3,0-0,0-0,2,2,1,0,0,0,0,0,0,0/0,2,北控,2017-11-05
滕贺麒,8,5,是,0-1,0-0,0-0,0,0,0,0,0,1,0,0,0,0/0,0,北控,2017-11-05
兰多夫,42,34,否,4-9,0-6,6-6,2,10,2,4,2,1,1,0,6,0/0,14,北控,2017-11-05
许梦君,9,20,否,0-0,3-6,0-0,1,0,0,3,0,1,0,0,1,0/0,9,北控,2017-11-05
贺希宁,0,20,否,4-5,0-1,1-1,0,1,1,2,1,1,0,0,1,0/0,9,北控,2017-11-05
杨庚霖,10,1,否,1-2,0-0,0-0,1,0,0,2,0,0,0,0,0,0/0,2,北控,2017-11-05
于梁,11,7,否,1-2,0-1,0-0,0,0,1,0,0,0,0,0,0,0/0,2,北控,2017-11-05
贾俊龙,18,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,北控,2017-11-05
于澍龙,5,14,否,0-0,0-0,0-0,2,0,1,0,1,1,0,0,0,0/0,0,北控,2017-11-05
李雪松,7,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,北控,2017-11-05
景浩扬,12,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,北控,2017-11-05
刘博,24,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,北控,2017-11-05
王梓旭,1,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,北控,2017-11-05
宋康明,21,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,北控,2017-11-05
夏宇彤,13,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,北控,2017-11-05
刘哲男,16,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,北控,2017-11-05
