player,NO,Minutes,Starter,2Pt,3Pt,FT,OffReb,DefReb,Ass,Foul,Steal,TO,Block,Dunk,Fouled,Fast_break,Scores,team,date
吉布森,22,48,是,10-14,2-10,15-15,1,5,4,5,0,5,0,0,9,0/0,41,青岛,2017-12-12
宗赞,13,39,是,5-8,2-5,4-5,4,7,2,5,0,0,2,0,8,0/0,20,青岛,2017-12-12
张骋宇,6,35,是,7-12,0-1,1-1,0,0,4,2,0,5,1,0,1,0/0,15,青岛,2017-12-12
田嘉夫,14,22,是,0-1,3-4,0-0,0,2,1,2,0,0,0,0,0,0/0,9,青岛,2017-12-12
刘书楠,7,31,是,2-4,1-4,0-0,2,5,1,1,0,4,0,0,1,0/0,7,青岛,2017-12-12
王庆明,32,18,否,3-3,0-0,1-2,2,5,0,3,0,2,0,0,1,0/0,7,青岛,2017-12-12
高尚,0,16,否,2-2,0-2,0-0,1,1,1,0,0,0,0,0,0,0/0,4,青岛,2017-12-12
许家晗,3,9,否,1-1,0-0,0-0,0,0,0,1,0,0,0,0,0,0/0,2,青岛,2017-12-12
刘鸿博,91,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,青岛,2017-12-12
张涵钧,2,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,青岛,2017-12-12
张昊,20,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,青岛,2017-12-12
孙杰,17,3,否,0-0,0-1,0-0,0,0,0,0,1,0,0,0,0,0/0,0,青岛,2017-12-12
刁成灏,27,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,青岛,2017-12-12
赵捷,24,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,青岛,2017-12-12
丁皓然,33,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,青岛,2017-12-12
苏伟,9,15,否,0-2,0-0,0-0,0,2,0,5,0,1,1,0,0,0/0,0,青岛,2017-12-12
马齐-兰佩,30,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,青岛,2017-12-12
单梓桐,4,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,青岛,2017-12-12
福特森,4,48,是,8-18,2-8,12-13,2,5,11,3,8,1,0,0,8,0/0,34,广厦,2017-12-12
胡金秋,21,42,是,13-19,0-0,4-5,6,3,1,1,0,1,1,0,4,0/0,30,广厦,2017-12-12
刘铮,11,34,是,6-9,2-5,0-0,3,2,1,2,5,2,0,0,2,0/0,18,广厦,2017-12-12
苏若禹,5,25,是,3-4,0-0,0-2,3,2,0,3,0,0,0,0,3,0/0,6,广厦,2017-12-12
林志杰,27,10,是,0-0,0-1,0-0,0,1,1,0,0,0,0,0,0,0/0,0,广厦,2017-12-12
赵岩昊,25,24,否,5-7,0-6,2-3,2,1,2,2,1,1,0,1,3,0/0,12,广厦,2017-12-12
博洛西斯,29,24,否,4-5,0-7,3-4,0,8,0,3,0,1,0,0,4,0/0,11,广厦,2017-12-12
李京龙,9,20,否,1-1,0-3,0-0,0,1,0,2,0,0,0,0,0,0/0,2,广厦,2017-12-12
鞠鹏,12,4,否,0-0,0-0,0-0,0,0,1,2,0,0,0,0,0,0/0,0,广厦,2017-12-12
赵大鹏,30,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,广厦,2017-12-12
姜文,6,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,广厦,2017-12-12
李金效,13,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,广厦,2017-12-12
李斌,8,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,广厦,2017-12-12
孙铭徽,17,5,否,0-0,0-0,0-0,0,0,0,2,0,0,0,0,0,0/0,0,广厦,2017-12-12
赵天熠,15,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,广厦,2017-12-12
吴羽佳,10,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,广厦,2017-12-12
