player,NO,Minutes,Starter,2Pt,3Pt,FT,OffReb,DefReb,Ass,Foul,Steal,TO,Block,Dunk,Fouled,Fast_break,Scores,team,date
埃德温-杰克逊,1,35,是,6-9,3-5,1-1,0,4,10,4,0,2,0,0,5,0/0,22,广东,2017-11-17
易建联,9,30,是,5-14,1-2,8-9,2,7,4,1,1,0,3,1,8,0/0,21,广东,2017-11-17
周鹏,11,29,是,2-4,5-8,1-2,1,3,0,1,0,2,0,1,4,0/0,20,广东,2017-11-17
任骏飞,20,29,是,2-4,2-5,0-0,0,4,1,4,1,2,0,0,0,0/0,10,广东,2017-11-17
杨金蒙,17,11,是,1-1,0-1,0-0,0,0,2,3,1,0,0,0,0,0/0,2,广东,2017-11-17
尼克尔森,44,25,否,3-4,4-5,0-0,0,6,2,5,1,1,1,0,1,0/0,18,广东,2017-11-17
曾繁日,22,6,否,3-5,0-0,0-0,1,2,0,3,0,0,0,0,0,0/0,6,广东,2017-11-17
周湛东,3,25,否,0-1,2-3,0-0,0,3,3,3,1,1,0,0,0,0/0,6,广东,2017-11-17
胡明轩,16,22,否,1-4,1-4,0-0,0,3,2,3,1,0,1,0,1,0/0,5,广东,2017-11-17
王薪凯,5,10,否,0-0,1-3,0-0,1,1,0,1,0,0,0,0,0,0/0,3,广东,2017-11-17
邵英伦,13,8,否,0-0,0-0,2-2,0,2,0,1,1,0,0,0,2,0/0,2,广东,2017-11-17
徐铭智,30,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,广东,2017-11-17
李佳益,29,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,广东,2017-11-17
赵戌宏,21,3,否,0-0,0-0,0-0,0,0,0,2,0,1,0,0,0,0/0,0,广东,2017-11-17
赵睿,0,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,广东,2017-11-17
J.J-希克森,44,41,是,12-24,0-1,7-13,5,8,1,5,2,1,2,1,12,0/0,31,同曦,2017-11-17
冯欣,66,32,是,1-4,1-2,4-4,0,0,2,1,1,0,0,0,4,0/0,9,同曦,2017-11-17
巴赫拉米,14,32,是,1-4,0-1,3-5,0,3,0,5,0,1,0,0,5,0/0,5,同曦,2017-11-17
郭一飞,10,22,是,0-1,0-3,1-2,1,4,0,2,0,0,0,0,2,0/0,1,同曦,2017-11-17
宋建骅,8,25,是,0-1,0-3,0-0,1,2,1,2,0,3,0,0,0,0/0,0,同曦,2017-11-17
琼斯,55,30,否,9-12,1-6,7-9,0,2,1,2,0,1,0,0,8,0/0,28,同曦,2017-11-17
周仪翔,6,17,否,2-3,1-3,0-0,0,2,0,0,1,2,1,0,0,0/0,7,同曦,2017-11-17
唐正东,9,5,否,1-2,0-0,0-0,1,0,0,0,0,0,0,0,0,0/0,2,同曦,2017-11-17
买尔丹,33,23,否,1-3,0-0,0-0,0,2,0,3,1,3,0,0,0,0/0,2,同曦,2017-11-17
王睿,25,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,同曦,2017-11-17
乔文瀚,7,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,同曦,2017-11-17
黄子恒,13,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,同曦,2017-11-17
杨力,19,6,否,0-0,0-0,0-0,0,0,0,1,0,0,0,0,0,0/0,0,同曦,2017-11-17
毕鹏飞,23,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,同曦,2017-11-17
何敬佳,20,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,同曦,2017-11-17
于长春,16,3,否,0-0,0-1,0-0,0,0,0,0,0,1,0,0,0,0/0,0,同曦,2017-11-17
姜博,64,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,同曦,2017-11-17
冷振铎,12,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,同曦,2017-11-17
张财宝,22,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,同曦,2017-11-17
张翌星,17,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,同曦,2017-11-17
魏政贤,2,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,同曦,2017-11-17
