player,NO,Minutes,Starter,2Pt,3Pt,FT,OffReb,DefReb,Ass,Foul,Steal,TO,Block,Dunk,Fouled,Fast_break,Scores,team,date
陶汉林,20,34,是,7-13,0-0,6-6,1,4,2,2,1,2,0,2,3,0/0,20,山东,2018-12-18
王汝恒,24,27,是,2-4,3-8,0-0,0,2,0,2,1,3,0,0,0,0/0,13,山东,2018-12-18
李泓翰,7,28,是,1-3,2-4,1-1,1,0,2,3,2,1,0,0,3,0/0,9,山东,2018-12-18
吴楠,38,23,是,1-4,1-3,2-4,1,6,1,0,0,1,1,0,4,0/0,7,山东,2018-12-18
贾诚,23,7,是,0-2,0-0,0-0,0,1,0,1,0,1,0,0,0,0/0,0,山东,2018-12-18
吴轲,15,29,否,4-9,2-4,3-3,0,4,2,2,0,2,0,0,2,0/0,17,山东,2018-12-18
张庆鹏,9,30,否,1-4,4-8,2-2,1,3,6,0,1,2,0,0,3,0/0,16,山东,2018-12-18
张春军,27,34,否,2-3,1-1,0-0,1,0,2,3,3,0,0,0,1,0/0,7,山东,2018-12-18
朱荣振,35,21,否,0-5,0-0,4-4,3,4,1,0,0,0,0,0,2,0/0,4,山东,2018-12-18
潘宁,5,3,否,0-0,1-1,0-0,0,0,1,2,0,0,0,0,0,0/0,3,山东,2018-12-18
莫泰尤纳斯,12,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,山东,2018-12-18
李林,10,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,山东,2018-12-18
张辉,4,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,山东,2018-12-18
文雁行,17,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,山东,2018-12-18
古德洛克,3,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,山东,2018-12-18
鲍比-布朗,6,38,是,3-5,7-9,2-2,2,5,7,0,0,1,0,0,5,0/0,29,山西,2018-12-18
葛昭宝,21,39,是,3-7,0-0,1-2,0,8,9,3,3,4,1,0,1,0/0,7,山西,2018-12-18
任骏威,10,21,是,2-5,0-1,0-0,1,2,0,0,0,1,0,0,0,0/0,4,山西,2018-12-18
滕贺麒,8,5,是,1-1,0-0,0-0,0,0,1,0,1,1,0,0,1,0/0,2,山西,2018-12-18
李敬宇,11,18,是,0-2,0-1,0-0,0,1,0,2,1,2,0,0,0,0/0,0,山西,2018-12-18
闫鹏飞,9,33,否,9-12,1-1,3-3,3,5,1,4,1,1,0,0,2,0/0,24,山西,2018-12-18
穆罕默德,15,33,否,9-17,0-1,4-4,2,5,7,3,3,2,2,3,5,0/0,22,山西,2018-12-18
原帅,7,33,否,0-0,5-9,0-0,0,4,2,5,0,1,0,0,0,0/0,15,山西,2018-12-18
王洪,13,7,否,0-1,1-2,0-0,0,0,1,1,1,1,0,0,0,0/0,3,山西,2018-12-18
孙伟博,19,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,山西,2018-12-18
任鹏鹏,55,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,山西,2018-12-18
刘冠岑,17,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,山西,2018-12-18
张泽龙,24,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,山西,2018-12-18
邢志强,12,9,否,0-0,0-1,0-0,1,4,0,0,1,0,0,0,1,0/0,0,山西,2018-12-18
侯兴宇,5,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,山西,2018-12-18
班铎,23,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,山西,2018-12-18
