player,NO,Minutes,Starter,2Pt,3Pt,FT,OffReb,DefReb,Ass,Foul,Steal,TO,Block,Dunk,Fouled,Fast_break,Scores,team,date
哈德森,14,41,是,6-9,4-11,4-4,2,7,2,2,1,2,0,0,3,0/0,28,辽宁,2017-12-03
郭艾伦,13,33,是,6-9,2-7,0-1,0,4,6,2,1,1,0,1,2,0/0,18,辽宁,2017-12-03
刘志轩,11,34,是,1-2,3-7,0-0,2,1,2,1,1,2,0,0,0,0/0,11,辽宁,2017-12-03
钟诚,9,29,是,0-2,2-6,0-0,2,3,0,5,5,1,1,0,0,0/0,6,辽宁,2017-12-03
李晓旭,22,31,是,2-7,0-0,0-0,6,4,4,5,0,0,0,1,1,0/0,4,辽宁,2017-12-03
巴斯,30,30,否,8-13,0-1,10-12,4,4,3,4,0,2,0,4,9,0/0,26,辽宁,2017-12-03
赵继伟,3,16,否,2-4,1-3,2-4,0,2,0,2,1,0,0,0,2,0/0,9,辽宁,2017-12-03
丛明晨,10,15,否,0-2,1-3,0-0,0,0,1,1,1,0,0,0,0,0/0,3,辽宁,2017-12-03
郭旭,15,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,辽宁,2017-12-03
张宗睿,19,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,辽宁,2017-12-03
孙锴祺,18,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,辽宁,2017-12-03
卫猛,23,1,否,0-0,0-0,0-0,0,0,0,1,0,0,0,0,0,0/0,0,辽宁,2017-12-03
赵率舟,17,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,辽宁,2017-12-03
韩德君,55,4,否,0-0,0-0,0-0,0,2,0,1,0,0,0,0,1,0/0,0,辽宁,2017-12-03
贺天举,6,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,辽宁,2017-12-03
刘大为,16,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,辽宁,2017-12-03
杨鸣,12,2,否,0-0,0-0,0-0,0,0,1,0,0,0,0,0,0,0/0,0,辽宁,2017-12-03
许梦君,9,40,是,1-1,5-11,0-0,2,1,1,1,0,1,0,0,1,0/0,17,北控,2017-12-03
马布里,3,35,是,5-10,2-7,0-1,1,5,7,3,2,3,0,0,1,0/0,16,北控,2017-12-03
阿巴斯,15,43,是,3-7,1-6,5-6,2,6,2,2,0,4,3,1,8,0/0,14,北控,2017-12-03
王征,28,15,是,3-4,0-0,2-2,1,3,1,2,0,2,0,0,1,0/0,8,北控,2017-12-03
杨敬敏,6,38,是,0-1,1-4,4-4,3,7,3,2,2,1,0,0,2,0/0,7,北控,2017-12-03
兰多夫,42,34,否,6-12,4-7,7-8,5,8,0,5,0,1,0,0,8,0/0,31,北控,2017-12-03
滕贺麒,8,6,否,1-3,0-0,1-1,0,0,0,0,1,1,0,0,1,0/0,3,北控,2017-12-03
于澍龙,5,10,否,0-1,0-0,1-2,0,1,2,0,0,2,0,0,1,0/0,1,北控,2017-12-03
夏宇彤,13,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,北控,2017-12-03
贾俊龙,18,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,北控,2017-12-03
李雪松,7,2,否,0-0,0-0,0-0,0,0,0,0,0,1,0,0,0,0/0,0,北控,2017-12-03
刘博,24,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,北控,2017-12-03
景浩扬,12,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,北控,2017-12-03
王梓旭,1,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,北控,2017-12-03
杨庚霖,10,4,否,0-0,0-0,0-2,1,0,0,2,0,0,0,0,1,0/0,0,北控,2017-12-03
贺希宁,0,8,否,0-1,0-0,0-0,0,0,0,1,0,0,0,0,0,0/0,0,北控,2017-12-03
宋康明,21,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,北控,2017-12-03
于梁,11,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,北控,2017-12-03
刘哲男,16,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,北控,2017-12-03
