player,NO,Minutes,Starter,2Pt,3Pt,FT,OffReb,DefReb,Ass,Foul,Steal,TO,Block,Dunk,Fouled,Fast_break,Scores,team,date
哈里斯,33,37,是,8-12,3-8,0-0,2,13,2,2,1,4,0,0,0,0/0,25,福建,2017-12-08
王哲林,31,40,是,8-15,0-0,4-6,0,4,1,3,1,1,0,1,4,0/0,20,福建,2017-12-08
赵泰隆,73,42,是,3-4,1-6,1-1,0,0,3,3,1,1,0,1,0,0/0,10,福建,2017-12-08
陈林坚,15,22,是,1-2,2-6,0-0,1,2,1,0,1,0,0,0,1,0/0,8,福建,2017-12-08
李江淮,5,16,是,0-2,0-1,0-0,0,3,6,2,0,3,0,0,1,0/0,0,福建,2017-12-08
史密斯,2,32,否,10-14,0-4,5-6,0,4,7,3,2,6,0,1,10,0/0,25,福建,2017-12-08
黄毅超,14,34,否,3-6,2-5,2-2,4,0,1,1,1,0,0,0,2,0/0,14,福建,2017-12-08
蔡晨,7,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,福建,2017-12-08
田桂森,0,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,福建,2017-12-08
谢亚财,30,2,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,福建,2017-12-08
杨凯,9,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,福建,2017-12-08
王润锋,16,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,福建,2017-12-08
孙椿棚,13,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,福建,2017-12-08
王增杰,23,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,福建,2017-12-08
孙喆,17,7,否,0-0,0-0,0-0,0,2,0,0,0,0,1,0,0,0/0,0,福建,2017-12-08
周启新,1,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,福建,2017-12-08
何重达,11,2,否,0-0,0-0,0-0,0,0,0,0,0,1,0,0,0,0/0,0,福建,2017-12-08
郭磊,18,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,福建,2017-12-08
哈德森,14,30,是,3-7,7-13,0-0,2,9,3,3,3,0,1,0,4,0/0,27,辽宁,2017-12-08
郭艾伦,13,29,是,4-7,3-8,3-5,0,5,7,2,2,4,0,0,4,0/0,20,辽宁,2017-12-08
李晓旭,22,36,是,4-12,0-0,0-0,1,1,0,2,0,1,0,0,0,0/0,8,辽宁,2017-12-08
钟诚,9,17,是,1-1,2-5,0-0,1,0,0,1,0,0,1,0,0,0/0,8,辽宁,2017-12-08
刘志轩,11,21,是,0-1,0-2,0-0,0,2,2,1,0,1,0,0,0,0/0,0,辽宁,2017-12-08
巴斯,30,38,否,14-15,1-3,4-4,2,8,2,4,2,2,2,1,4,0/0,35,辽宁,2017-12-08
丛明晨,10,29,否,3-3,4-5,0-0,0,1,0,1,1,2,0,0,0,0/0,18,辽宁,2017-12-08
赵继伟,3,30,否,2-5,1-1,0-0,1,1,2,5,5,3,0,0,2,0/0,7,辽宁,2017-12-08
韩德君,55,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,辽宁,2017-12-08
卫猛,23,1,否,0-1,0-0,0-0,1,1,0,0,0,0,0,0,0,0/0,0,辽宁,2017-12-08
郭旭,15,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,辽宁,2017-12-08
贺天举,6,1,否,0-1,0-0,0-0,0,1,0,0,0,0,0,0,0,0/0,0,辽宁,2017-12-08
孙锴祺,18,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,辽宁,2017-12-08
刘大为,16,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,辽宁,2017-12-08
张宗睿,19,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,辽宁,2017-12-08
杨鸣,12,2,否,0-0,0-0,0-0,0,0,1,0,0,0,0,0,0,0/0,0,辽宁,2017-12-08
赵率舟,17,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,辽宁,2017-12-08
