player,NO,Minutes,Starter,2Pt,3Pt,FT,OffReb,DefReb,Ass,Foul,Steal,TO,Block,Dunk,Fouled,Fast_break,Scores,team,date
汉密尔顿,41,40,是,11-19,1-2,5-9,5,7,5,3,3,0,4,4,10,0/0,30,北京,2018-12-20
翟晓川,20,32,是,7-8,0-4,6-7,1,5,4,5,1,5,0,0,6,0/0,20,北京,2018-12-20
王骁辉,33,15,是,2-2,1-2,2-3,0,2,3,5,1,0,0,0,2,0/0,9,北京,2018-12-20
张卓,22,13,是,2-5,0-0,0-0,1,4,0,2,1,2,0,0,1,0/0,4,北京,2018-12-20
刘晓宇,10,12,是,0-0,0-0,0-0,1,0,3,2,0,0,0,0,2,0/0,0,北京,2018-12-20
方硕,8,33,否,2-7,2-4,1-2,0,2,2,1,0,2,0,0,0,0/0,11,北京,2018-12-20
朱彦西,13,28,否,0-1,2-5,0-0,2,4,2,0,1,2,0,0,1,0/0,6,北京,2018-12-20
张才仁,16,25,否,3-7,0-1,0-0,1,2,2,2,1,1,0,0,0,0/0,6,北京,2018-12-20
段江鹏,11,14,否,1-2,1-2,0-0,0,4,0,4,2,2,0,0,1,0/0,5,北京,2018-12-20
王旭,4,10,否,1-1,0-2,1-2,0,0,1,2,0,0,0,0,1,0/0,3,北京,2018-12-20
丘天,19,13,否,0-0,0-0,2-2,0,3,0,4,1,1,1,0,1,0/0,2,北京,2018-12-20
艾伦-杰克逊,7,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,北京,2018-12-20
王鑫磊,31,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,北京,2018-12-20
赵晏满,1,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,北京,2018-12-20
赵梓壹,17,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,北京,2018-12-20
段鸿瑞,29,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,北京,2018-12-20
常林,23,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,北京,2018-12-20
张松涛,35,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,北京,2018-12-20
陈赞宇,21,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,北京,2018-12-20
王汝恒,24,43,是,4-8,4-12,3-5,1,2,5,3,4,3,0,0,7,0/0,23,山东,2018-12-20
贾诚,23,32,是,1-2,0-0,6-7,2,7,0,5,1,1,0,0,3,0/0,8,山东,2018-12-20
陶汉林,20,18,是,3-5,0-0,0-0,2,3,2,2,0,1,1,1,0,0/0,6,山东,2018-12-20
张春军,27,17,是,0-1,0-1,0-0,1,0,0,2,1,2,0,0,1,0/0,0,山东,2018-12-20
李泓翰,7,14,是,0-0,0-0,0-0,0,0,0,3,1,0,0,0,2,0/0,0,山东,2018-12-20
吴轲,15,28,否,5-9,1-2,5-6,1,5,0,3,0,3,0,0,5,0/0,18,山东,2018-12-20
张庆鹏,9,32,否,2-5,1-8,3-3,1,2,2,0,1,3,0,0,3,0/0,10,山东,2018-12-20
吴楠,38,35,否,0-2,0-4,8-10,0,4,0,5,0,2,1,0,6,0/0,8,山东,2018-12-20
朱荣振,35,17,否,1-7,0-0,1-2,1,5,0,2,0,0,2,0,1,0/0,3,山东,2018-12-20
莫泰尤纳斯,12,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,山东,2018-12-20
李林,10,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,山东,2018-12-20
潘宁,5,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,山东,2018-12-20
张辉,4,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,山东,2018-12-20
文雁行,17,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,山东,2018-12-20
古德洛克,3,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,山东,2018-12-20
