player,NO,Minutes,Starter,2Pt,3Pt,FT,OffReb,DefReb,Ass,Foul,Steal,TO,Block,Dunk,Fouled,Fast_break,Scores,team,date
J.J-希克森,44,36,是,13-24,1-1,4-9,2,11,1,1,4,1,0,2,8,0/0,33,同曦,2018-01-28
巴赫拉米,14,40,是,4-8,1-4,4-4,3,6,3,3,3,3,0,0,3,0/0,15,同曦,2018-01-28
郭一飞,10,30,是,1-2,2-8,0-0,0,2,2,3,1,0,1,0,1,0/0,8,同曦,2018-01-28
冯欣,66,24,是,1-4,2-3,0-0,0,1,1,2,1,3,0,0,0,0/0,8,同曦,2018-01-28
杨力,19,22,是,0-1,2-4,0-0,1,0,1,3,0,1,0,0,0,0/0,6,同曦,2018-01-28
宋建骅,8,28,否,0-0,4-7,0-0,1,0,2,2,1,3,0,0,1,0/0,12,同曦,2018-01-28
杰里米-帕戈,11,35,否,3-9,1-7,2-2,1,1,11,2,1,3,0,0,3,0/0,11,同曦,2018-01-28
于长春,16,5,否,0-0,3-4,0-0,1,1,0,1,0,0,0,0,0,0/0,9,同曦,2018-01-28
买尔丹,33,10,否,1-1,0-0,0-0,0,1,0,0,0,0,0,0,0,0/0,2,同曦,2018-01-28
毕鹏飞,23,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,同曦,2018-01-28
周仪翔,6,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,同曦,2018-01-28
乔文瀚,7,5,否,0-0,0-0,0-0,0,1,0,0,0,0,0,0,1,0/0,0,同曦,2018-01-28
黄子恒,13,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,同曦,2018-01-28
张翌星,17,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,同曦,2018-01-28
何敬佳,20,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,同曦,2018-01-28
张财宝,22,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,同曦,2018-01-28
魏政贤,2,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,同曦,2018-01-28
王睿,25,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,同曦,2018-01-28
姜博,64,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,同曦,2018-01-28
唐正东,9,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,同曦,2018-01-28
冷振铎,12,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,同曦,2018-01-28
福特森,4,43,是,9-14,2-7,5-7,1,4,18,2,3,5,0,0,6,0/0,29,广厦,2018-01-28
胡金秋,21,31,是,13-18,0-0,0-0,1,8,0,0,1,1,1,1,2,0/0,26,广厦,2018-01-28
刘铮,11,31,是,9-11,0-1,0-0,0,5,1,0,2,2,0,1,0,0/0,18,广厦,2018-01-28
林志杰,27,15,是,2-2,0-1,0-0,0,2,1,0,3,4,0,0,1,0/0,4,广厦,2018-01-28
苏若禹,5,19,是,0-2,0-0,1-2,3,5,0,3,0,0,0,0,1,0/0,1,广厦,2018-01-28
博洛西斯,29,28,否,6-10,1-4,0-0,1,10,5,4,0,0,0,0,3,0/0,15,广厦,2018-01-28
李京龙,9,25,否,0-1,3-5,2-2,1,1,1,3,0,1,0,0,1,0/0,11,广厦,2018-01-28
赵岩昊,25,15,否,3-4,1-1,0-0,1,1,0,2,1,2,0,0,1,0/0,9,广厦,2018-01-28
孙铭徽,17,13,否,0-2,1-1,0-0,1,0,2,0,2,0,0,0,2,0/0,3,广厦,2018-01-28
赵天熠,15,10,否,1-3,0-0,0-0,0,1,0,2,1,0,0,0,0,0/0,2,广厦,2018-01-28
鞠鹏,12,5,否,0-0,0-0,0-0,0,1,0,1,0,0,0,0,0,0/0,0,广厦,2018-01-28
赵大鹏,27,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,广厦,2018-01-28
李金效,13,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,广厦,2018-01-28
吴羽佳,10,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,广厦,2018-01-28
李斌,8,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,广厦,2018-01-28
姜文,6,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,广厦,2018-01-28
