player,NO,Minutes,Starter,2Pt,3Pt,FT,OffReb,DefReb,Ass,Foul,Steal,TO,Block,Dunk,Fouled,Fast_break,Scores,team,date
J.J-希克森,44,38,是,14-27,0-1,6-10,8,12,4,3,2,2,5,5,7,0/0,34,同曦,2018-01-03
巴赫拉米,14,40,是,3-7,2-5,4-6,1,12,1,4,4,3,0,0,6,0/0,16,同曦,2018-01-03
郭一飞,10,31,是,2-2,2-5,4-5,1,2,0,5,0,1,0,0,4,0/0,14,同曦,2018-01-03
冯欣,66,37,是,1-6,2-2,0-0,0,2,6,2,1,3,0,0,1,0/0,8,同曦,2018-01-03
周仪翔,6,5,是,1-2,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,2,同曦,2018-01-03
杰里米-帕戈,11,30,否,7-12,2-7,0-0,0,1,8,0,4,3,0,1,0,0/0,20,同曦,2018-01-03
宋建骅,8,28,否,1-2,1-3,1-2,0,2,1,3,1,0,2,0,1,0/0,6,同曦,2018-01-03
买尔丹,33,24,否,1-3,0-0,0-0,1,2,0,4,0,1,0,0,1,0/0,2,同曦,2018-01-03
唐正东,9,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,同曦,2018-01-03
乔文瀚,7,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,同曦,2018-01-03
黄子恒,13,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,同曦,2018-01-03
杨力,19,3,否,0-0,0-0,0-0,1,0,0,2,0,0,0,0,0,0/0,0,同曦,2018-01-03
张翌星,17,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,同曦,2018-01-03
何敬佳,20,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,同曦,2018-01-03
张财宝,22,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,同曦,2018-01-03
魏政贤,2,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,同曦,2018-01-03
王睿,25,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,同曦,2018-01-03
姜博,64,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,同曦,2018-01-03
于长春,16,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,同曦,2018-01-03
毕鹏飞,23,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,同曦,2018-01-03
冷振铎,12,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,同曦,2018-01-03
威姆斯,13,33,是,12-20,1-4,0-2,1,6,3,2,1,4,1,1,1,0/0,27,浙江,2018-01-03
吴前,33,46,是,0-5,2-6,5-6,2,3,6,3,1,2,0,0,5,0/0,11,浙江,2018-01-03
陆文博,8,32,是,1-2,0-5,3-4,3,3,3,3,2,0,0,0,6,0/0,5,浙江,2018-01-03
赖俊豪,17,3,是,0-0,1-1,0-0,0,0,0,1,0,2,0,0,0,0/0,3,浙江,2018-01-03
张永鹏,76,11,是,0-2,0-0,0-0,0,2,0,2,1,1,0,0,0,0/0,0,浙江,2018-01-03
斯托克斯,12,38,否,12-19,1-2,7-10,3,9,3,2,2,1,2,2,7,0/0,34,浙江,2018-01-03
张大宇,24,26,否,2-8,0-0,1-2,5,1,1,1,3,2,1,0,2,0/0,5,浙江,2018-01-03
刘泽一,10,14,否,2-3,0-0,0-0,0,2,0,1,0,0,1,0,0,0/0,4,浙江,2018-01-03
程帅澎,6,19,否,1-2,0-1,0-0,1,0,0,2,0,1,0,0,1,0/0,2,浙江,2018-01-03
惠龙儿,18,3,否,0-1,0-0,0-0,1,2,1,1,0,1,0,0,1,0/0,0,浙江,2018-01-03
张正昕,28,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,浙江,2018-01-03
付磊,3,6,否,0-1,0-3,0-0,0,1,0,2,0,0,0,0,0,0/0,0,浙江,2018-01-03
李耀强,11,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,浙江,2018-01-03
江凯,93,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,浙江,2018-01-03
李宗翰,9,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,浙江,2018-01-03
张家丰,23,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,浙江,2018-01-03
王奕博,7,4,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,浙江,2018-01-03
夏钰博,15,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,浙江,2018-01-03
