player,NO,Minutes,Starter,2Pt,3Pt,FT,OffReb,DefReb,Ass,Foul,Steal,TO,Block,Dunk,Fouled,Fast_break,Scores,team,date
哈德森,14,29,是,4-5,6-11,1-4,0,1,2,4,2,1,1,0,3,0/0,27,辽宁,2018-12-07
郭艾伦,13,28,是,7-11,2-4,2-3,1,2,10,1,1,0,0,1,4,0/0,22,辽宁,2018-12-07
贺天举,6,14,是,0-3,4-5,0-0,1,4,0,0,1,0,1,0,0,0/0,12,辽宁,2018-12-07
韩德君,55,24,是,4-7,0-0,3-3,1,8,2,2,0,1,1,0,2,0/0,11,辽宁,2018-12-07
高诗岩,0,32,是,2-3,0-3,0-0,0,0,6,2,2,0,0,0,0,0/0,4,辽宁,2018-12-07
巴斯,30,35,否,11-16,0-0,4-5,5,4,7,1,2,1,1,5,4,0/0,26,辽宁,2018-12-07
李晓旭,22,15,否,5-6,1-2,0-0,2,3,1,0,1,0,0,0,0,0/0,13,辽宁,2018-12-07
杨鸣,12,17,否,2-3,1-1,0-1,3,1,3,2,1,1,0,0,2,0/0,7,辽宁,2018-12-07
刘志轩,11,15,否,0-1,2-5,0-0,0,1,3,1,0,0,0,0,0,0/0,6,辽宁,2018-12-07
丛明晨,10,13,否,0-1,1-3,0-0,1,3,1,1,0,0,0,0,0,0/0,3,辽宁,2018-12-07
钟诚,9,5,否,0-2,0-0,2-2,2,1,0,0,2,1,0,0,2,0/0,2,辽宁,2018-12-07
卫猛,23,8,否,0-4,0-0,1-2,0,1,0,3,1,1,3,0,1,0/0,1,辽宁,2018-12-07
孙锴祺,18,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,辽宁,2018-12-07
马壮,35,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,辽宁,2018-12-07
赵继伟,3,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,辽宁,2018-12-07
郭旭,15,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,辽宁,2018-12-07
鄢手骐,36,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,辽宁,2018-12-07
乔-杨,3,38,是,9-18,9-14,3-3,0,2,6,1,1,4,0,0,5,0/0,48,同曦,2018-12-07
于长春,6,17,是,1-4,0-2,0-0,1,2,2,1,0,0,0,0,1,0/0,2,同曦,2018-12-07
李佳益,39,11,是,1-2,0-0,0-1,0,1,0,3,0,0,1,0,1,0/0,2,同曦,2018-12-07
张财宝,22,7,是,1-2,0-3,0-0,1,1,0,0,0,3,0,0,0,0/0,2,同曦,2018-12-07
郭一飞,10,12,是,0-0,0-1,0-0,1,1,0,0,0,1,0,0,0,0/0,0,同曦,2018-12-07
奥斯汀,2,33,否,6-9,1-4,3-7,1,7,1,2,0,1,1,0,4,0/0,18,同曦,2018-12-07
宋建骅,8,30,否,4-4,1-3,1-1,1,1,1,3,0,4,0,0,2,0/0,12,同曦,2018-12-07
冯欣,11,23,否,2-2,1-1,0-0,0,0,2,3,1,2,0,0,1,0/0,7,同曦,2018-12-07
乔文瀚,9,26,否,0-4,1-4,0-0,3,2,1,0,0,2,0,0,1,0/0,3,同曦,2018-12-07
买尔丹,33,24,否,1-1,0-0,1-2,1,6,1,2,0,0,0,0,1,0/0,3,同曦,2018-12-07
王睿,21,13,否,1-1,0-1,0-0,1,2,1,3,0,0,0,0,1,0/0,2,同曦,2018-12-07
杨力,19,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,同曦,2018-12-07
张翌星,17,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,同曦,2018-12-07
何敬佳,20,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,同曦,2018-12-07
李泓澎,35,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,同曦,2018-12-07
冷振铎,12,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,同曦,2018-12-07
张韩,29,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,同曦,2018-12-07
惠龙儿,18,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,同曦,2018-12-07
李柏润,1,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,同曦,2018-12-07
