player,NO,Minutes,Starter,2Pt,3Pt,FT,OffReb,DefReb,Ass,Foul,Steal,TO,Block,Dunk,Fouled,Fast_break,Scores,team,date
福特森,4,41,是,6-11,3-12,8-9,1,4,14,4,2,6,2,0,11,0/0,29,广厦,2018-10-23
胡金秋,21,45,是,10-16,0-0,0-0,5,5,2,0,3,1,3,1,2,0/0,20,广厦,2018-10-23
林志杰,27,21,是,2-4,2-5,0-0,0,0,1,4,1,0,0,0,1,0/0,10,广厦,2018-10-23
赵岩昊,25,16,是,3-3,0-1,0-0,1,2,1,2,4,1,0,0,1,0/0,6,广厦,2018-10-23
苏若禹,5,24,是,1-4,0-0,3-6,2,2,0,4,1,0,0,0,3,0/0,5,广厦,2018-10-23
博洛西斯,29,23,否,4-7,2-4,2-2,0,6,2,2,1,1,0,0,2,0/0,16,广厦,2018-10-23
刘铮,11,23,否,5-9,0-1,0-0,3,2,1,3,1,1,1,0,0,0/0,10,广厦,2018-10-23
孙铭徽,17,21,否,2-3,1-3,0-0,0,1,4,4,3,1,1,0,2,0/0,7,广厦,2018-10-23
李京龙,9,19,否,0-2,1-1,2-2,0,1,1,2,1,0,0,0,1,0/0,5,广厦,2018-10-23
赵天熠,15,2,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,广厦,2018-10-23
李金效,13,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,广厦,2018-10-23
吴羽佳,10,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,广厦,2018-10-23
李斌,8,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,广厦,2018-10-23
赵大鹏,30,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,广厦,2018-10-23
鞠鹏,12,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,广厦,2018-10-23
弗雷戴特,32,38,是,3-11,5-7,10-10,1,4,3,2,1,4,1,0,9,0/0,31,上海,2018-10-23
蔡亮,1,39,是,3-5,1-2,5-6,0,3,2,5,0,3,0,0,4,0/0,14,上海,2018-10-23
罗旭东,13,20,是,1-4,1-3,4-5,1,2,3,5,0,2,0,0,3,0/0,9,上海,2018-10-23
董瀚麟,16,29,是,4-5,0-0,0-0,2,8,0,3,3,3,1,0,2,0/0,8,上海,2018-10-23
王潼,25,10,是,1-4,0-0,0-0,1,1,0,1,0,1,0,0,0,0/0,2,上海,2018-10-23
刘炜,8,25,否,2-5,1-2,5-5,0,4,3,1,0,2,0,0,3,0/0,12,上海,2018-10-23
路易斯-斯科拉,4,27,否,4-8,0-2,0-0,3,9,3,5,1,4,2,0,0,0/0,8,上海,2018-10-23
张兆旭,23,23,否,3-6,0-0,0-2,4,1,0,1,0,0,3,0,2,0/0,6,上海,2018-10-23
罗汉琛,33,12,否,0-2,0-1,2-2,0,1,1,0,1,4,0,0,1,0/0,2,上海,2018-10-23
孟令源,5,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,上海,2018-10-23
罗智,27,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,上海,2018-10-23
施宇晨,47,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,上海,2018-10-23
朱瀛,19,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,上海,2018-10-23
颜鹏,0,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,上海,2018-10-23
田雨晨,11,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,上海,2018-10-23
卢伟,12,12,否,0-1,0-1,0-0,0,0,0,0,0,0,0,0,0,0/0,0,上海,2018-10-23
黄世乾,21,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,上海,2018-10-23
黄旭,3,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,上海,2018-10-23
