player,NO,Minutes,Starter,2Pt,3Pt,FT,OffReb,DefReb,Ass,Foul,Steal,TO,Block,Dunk,Fouled,Fast_break,Scores,team,date
鲍比-布朗,6,37,是,3-7,2-10,6-6,0,1,5,1,1,2,0,0,6,0/0,18,山西,2018-12-22
李敬宇,11,35,是,0-1,3-5,1-2,0,3,3,2,2,2,0,0,1,0/0,10,山西,2018-12-22
任骏威,10,21,是,4-6,0-0,2-4,2,5,2,1,1,1,2,0,2,0/0,10,山西,2018-12-22
葛昭宝,21,25,是,2-4,0-0,5-6,2,5,1,6,2,3,0,0,3,0/0,9,山西,2018-12-22
滕贺麒,8,6,是,0-1,0-0,1-2,0,0,0,0,0,0,0,0,1,0/0,1,山西,2018-12-22
穆罕默德,15,34,否,11-15,1-2,5-6,5,7,4,1,0,0,0,1,7,0/0,30,山西,2018-12-22
闫鹏飞,9,29,否,5-10,0-0,0-0,2,5,1,0,0,4,1,1,1,0/0,10,山西,2018-12-22
原帅,7,24,否,1-3,1-5,0-0,0,1,0,2,0,1,0,0,2,0/0,5,山西,2018-12-22
王洪,13,9,否,0-1,1-2,0-0,0,1,1,1,0,0,0,0,0,0/0,3,山西,2018-12-22
孙伟博,19,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,山西,2018-12-22
任鹏鹏,55,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,山西,2018-12-22
刘冠岑,17,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,山西,2018-12-22
张泽龙,24,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,山西,2018-12-22
邢志强,12,15,否,0-0,0-2,0-0,1,3,0,4,0,0,1,0,1,0/0,0,山西,2018-12-22
侯兴宇,5,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,山西,2018-12-22
班铎,23,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,山西,2018-12-22
汉密尔顿,41,41,是,11-20,1-3,4-9,6,4,4,2,2,3,3,0,6,0/0,29,北京,2018-12-22
张卓,22,20,是,6-8,0-0,1-2,1,0,1,4,0,0,0,0,3,0/0,13,北京,2018-12-22
王旭,4,8,是,1-1,1-1,0-0,0,1,1,1,0,1,0,0,0,0/0,5,北京,2018-12-22
段江鹏,11,31,是,2-3,0-2,0-0,1,4,2,3,2,0,0,0,2,0/0,4,北京,2018-12-22
方硕,8,32,是,2-9,0-3,0-0,0,5,11,3,4,2,0,0,2,0/0,4,北京,2018-12-22
艾伦-杰克逊,7,26,否,2-4,3-4,3-4,1,0,9,1,1,0,0,0,2,0/0,16,北京,2018-12-22
朱彦西,13,20,否,0-0,5-6,0-0,0,4,1,3,0,2,0,0,0,0/0,15,北京,2018-12-22
翟晓川,20,23,否,5-7,0-1,4-5,0,4,1,2,0,2,0,0,3,0/0,14,北京,2018-12-22
张才仁,16,18,否,0-2,1-2,0-0,1,0,1,4,0,0,0,0,0,0/0,3,北京,2018-12-22
丘天,19,8,否,1-1,0-0,0-0,1,2,0,1,0,0,0,0,0,0/0,2,北京,2018-12-22
段鸿瑞,29,6,否,1-2,0-1,0-0,0,0,0,0,0,0,0,0,0,0/0,2,北京,2018-12-22
常林,23,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,北京,2018-12-22
张松涛,35,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,北京,2018-12-22
刘晓宇,10,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,北京,2018-12-22
王鑫磊,31,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,北京,2018-12-22
赵晏满,1,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,北京,2018-12-22
赵梓壹,17,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,北京,2018-12-22
王骁辉,33,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,北京,2018-12-22
陈赞宇,21,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,北京,2018-12-22
