player,NO,Minutes,Starter,2Pt,3Pt,FT,OffReb,DefReb,Ass,Foul,Steal,TO,Block,Dunk,Fouled,Fast_break,Scores,team,date
兰德里,24,25,是,7-15,0-0,4-5,5,7,2,2,2,0,0,1,4,0/0,18,吉林,2017-11-01
高诗岩,0,33,是,5-10,0-1,2-3,1,3,4,3,3,3,0,0,4,0/0,12,吉林,2017-11-01
崔晋铭,5,41,是,3-8,1-6,2-2,3,2,2,1,4,4,0,0,2,0/0,11,吉林,2017-11-01
李安,4,40,是,4-12,0-0,2-2,5,8,0,2,1,0,2,0,1,0/0,10,吉林,2017-11-01
柴长易,6,23,是,2-3,1-4,3-4,0,3,1,1,0,1,0,0,3,0/0,10,吉林,2017-11-01
韦弗,13,22,否,3-9,2-5,8-8,0,1,3,0,1,1,0,0,4,0/0,20,吉林,2017-11-01
代怀博,22,27,否,6-7,1-2,0-0,2,5,1,3,0,2,0,1,1,0/0,15,吉林,2017-11-01
蔡李龙,20,12,否,0-1,1-4,0-0,0,0,1,0,0,0,0,0,0,0/0,3,吉林,2017-11-01
郭金林,21,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,吉林,2017-11-01
王镤,23,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,吉林,2017-11-01
廉明,10,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,吉林,2017-11-01
张锦,9,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,吉林,2017-11-01
刘天意,1,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,吉林,2017-11-01
姚天一,3,14,否,0-3,0-0,0-0,0,2,2,1,1,0,0,0,0,0/0,0,吉林,2017-11-01
耿铭旸,11,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,吉林,2017-11-01
田宇翔,7,33,是,4-5,1-3,2-2,2,1,4,1,3,4,1,0,3,0/0,13,八一,2017-11-01
许钟豪,24,32,是,4-9,0-0,3-6,3,11,3,4,1,3,3,0,4,0/0,11,八一,2017-11-01
雷蒙,11,37,是,3-10,1-10,1-1,3,3,2,4,2,1,0,0,2,0/0,10,八一,2017-11-01
刘航初,9,10,是,0-1,0-2,0-0,0,3,1,0,0,1,0,0,0,0/0,0,八一,2017-11-01
宁鸿宇,16,10,是,0-1,0-1,0-0,0,0,0,3,0,2,1,0,0,0/0,0,八一,2017-11-01
付豪,1,37,否,12-21,0-0,5-6,2,11,3,3,0,3,1,0,3,0/0,29,八一,2017-11-01
张祖铭,20,37,否,3-4,2-7,0-0,3,3,0,0,2,0,0,0,0,0/0,12,八一,2017-11-01
阿尔斯兰,5,14,否,0-0,2-5,0-0,0,1,1,1,0,1,0,0,0,0/0,6,八一,2017-11-01
余晨,15,13,否,2-6,0-0,0-0,0,2,1,2,0,0,0,0,0,0/0,4,八一,2017-11-01
李天戈,6,8,否,1-2,0-0,0-0,0,1,0,1,1,0,1,0,1,0/0,2,八一,2017-11-01
德勒黑,22,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,八一,2017-11-01
邹雨宸,10,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,八一,2017-11-01
曹岩,8,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,八一,2017-11-01
罗凯文,13,3,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,八一,2017-11-01
王俊霖,17,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,八一,2017-11-01
缪光旸,21,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,八一,2017-11-01
