player,NO,Minutes,Starter,2Pt,3Pt,FT,OffReb,DefReb,Ass,Foul,Steal,TO,Block,Dunk,Fouled,Fast_break,Scores,team,date
琼斯,55,31,是,8-16,1-4,2-3,2,6,10,3,2,3,0,0,3,0/0,21,吉林,2018-11-06
张彪,14,20,是,5-7,0-0,2-2,0,2,1,2,0,0,1,0,1,0/0,12,吉林,2018-11-06
崔晋铭,5,36,是,3-7,0-1,2-2,3,3,3,0,1,0,0,0,3,0/0,8,吉林,2018-11-06
李安,4,7,是,2-4,0-0,0-0,0,1,0,0,1,0,0,0,0,0/0,4,吉林,2018-11-06
姜宇星,13,21,是,0-2,0-0,0-0,2,1,4,5,2,0,0,0,1,0/0,0,吉林,2018-11-06
马齐-兰佩,30,40,否,13-22,3-8,5-6,9,11,4,4,0,1,1,1,4,0/0,40,吉林,2018-11-06
柴长易,6,32,否,0-1,4-10,0-0,1,1,3,2,0,1,0,0,1,0/0,12,吉林,2018-11-06
代怀博,36,27,否,4-6,0-1,0-0,3,2,0,3,1,0,0,0,1,0/0,8,吉林,2018-11-06
刘天意,1,22,否,2-6,1-2,0-0,1,3,1,5,0,1,0,0,1,0/0,7,吉林,2018-11-06
付博文,3,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,吉林,2018-11-06
张锦,9,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,吉林,2018-11-06
郭金林,21,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,吉林,2018-11-06
廉明,10,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,吉林,2018-11-06
夏钰博,15,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,吉林,2018-11-06
耿铭旸,33,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,吉林,2018-11-06
王镤,23,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,吉林,2018-11-06
姜伟泽,11,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,吉林,2018-11-06
富兰克林,11,44,是,10-14,2-8,16-17,1,8,9,3,2,3,2,1,16,0/0,42,四川,2018-11-06
贾森-汤普森,1,39,是,7-9,2-3,1-2,0,11,1,2,0,2,1,0,5,0/0,21,四川,2018-11-06
陈辰,32,27,是,5-6,2-5,0-0,2,1,0,2,1,1,0,0,1,0/0,16,四川,2018-11-06
曾文鼎,76,8,是,0-0,0-3,0-0,1,2,0,3,0,1,0,0,0,0/0,0,四川,2018-11-06
王政博,16,26,是,0-1,0-2,0-0,2,0,2,0,0,0,0,0,0,0/0,0,四川,2018-11-06
左朕年,13,33,否,4-5,1-3,0-0,1,2,3,3,1,0,0,0,1,0/0,11,四川,2018-11-06
闵庆飞,21,7,否,1-1,1-2,1-2,0,1,0,0,0,1,0,0,1,0/0,6,四川,2018-11-06
杨越,6,21,否,0-5,1-2,0-0,0,1,1,1,0,0,1,0,0,0/0,3,四川,2018-11-06
孟达,12,28,否,0-3,1-5,0-0,0,3,1,1,0,1,0,0,0,0/0,3,四川,2018-11-06
袁振梁,55,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,四川,2018-11-06
钟一帆,20,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,四川,2018-11-06
黄荣奇,7,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,四川,2018-11-06
李柯七,17,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,四川,2018-11-06
景菡一,19,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,四川,2018-11-06
莫蒙尘,10,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,四川,2018-11-06
胡林森,8,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,四川,2018-11-06
侯天一,14,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,四川,2018-11-06
陈晓东,30,1,否,0-1,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,四川,2018-11-06
张海阔,3,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,四川,2018-11-06
