player,NO,Minutes,Starter,2Pt,3Pt,FT,OffReb,DefReb,Ass,Foul,Steal,TO,Block,Dunk,Fouled,Fast_break,Scores,team,date
莫泰尤纳斯,12,29,是,7-9,3-4,9-9,2,8,3,3,2,3,1,1,8,0/0,32,山东,2017-11-17
丁彦雨航,8,24,是,7-10,0-5,3-3,3,0,3,4,0,0,0,0,4,0/0,17,山东,2017-11-17
陶汉林,20,27,是,4-9,0-0,6-6,3,1,0,2,0,1,1,2,3,0/0,14,山东,2017-11-17
张辉,4,17,是,1-2,0-1,0-0,0,3,1,5,3,0,0,0,0,0/0,2,山东,2017-11-17
睢冉,1,18,是,0-2,0-2,0-0,1,2,4,3,3,0,0,0,2,0/0,0,山东,2017-11-17
泰-劳森,3,36,否,7-11,1-4,8-9,1,4,9,3,4,0,0,0,5,0/0,25,山东,2017-11-17
吴轲,15,18,否,3-6,2-2,2-4,3,4,0,5,0,3,0,1,2,0/0,14,山东,2017-11-17
王汝恒,24,18,否,1-2,3-6,0-0,0,0,2,3,2,0,0,0,0,0/0,11,山东,2017-11-17
张春军,27,22,否,2-3,1-2,2-2,0,2,0,3,0,1,0,0,1,0/0,9,山东,2017-11-17
潘宁,5,9,否,0-1,1-4,0-0,1,1,1,1,0,0,0,0,0,0/0,3,山东,2017-11-17
贾诚,32,10,否,1-2,0-3,0-0,1,4,0,3,1,2,1,0,0,0/0,2,山东,2017-11-17
李泓翰,7,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,山东,2017-11-17
文雁行,17,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,山东,2017-11-17
李林,10,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,山东,2017-11-17
焦海龙,0,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,山东,2017-11-17
朱荣振,35,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,山东,2017-11-17
张庆鹏,9,6,否,0-0,0-1,0-0,0,1,1,0,0,0,0,0,0,0/0,0,山东,2017-11-17
弗格,18,41,是,2-8,1-3,11-14,0,4,8,2,1,7,1,0,14,0/0,18,广州,2017-11-17
桑尼,1,39,是,5-11,1-2,5-6,7,11,2,1,0,3,0,0,6,0/0,18,广州,2017-11-17
郑准,50,15,是,4-7,1-1,0-0,0,0,1,1,1,1,0,0,0,0/0,11,广州,2017-11-17
鞠明欣,8,24,是,1-3,2-4,0-0,1,1,2,4,0,1,0,0,0,0/0,8,广州,2017-11-17
衡艺丰,21,24,是,0-1,0-3,0-0,1,1,1,3,1,2,0,0,0,0/0,0,广州,2017-11-17
汉斯布鲁,11,24,否,6-7,0-0,6-9,4,9,1,3,0,2,1,1,6,0/0,18,广州,2017-11-17
谷玥灼,7,32,否,0-1,5-7,1-1,0,1,2,3,0,1,0,0,1,0/0,16,广州,2017-11-17
朱旭航,10,8,否,1-3,0-1,4-4,0,0,1,3,0,3,0,1,3,0/0,6,广州,2017-11-17
陈盈骏,2,10,否,0-1,1-2,2-2,0,1,2,1,1,0,0,0,1,0/0,5,广州,2017-11-17
胡珑贸,15,10,否,0-1,0-2,1-3,0,1,0,3,1,2,0,0,2,0/0,1,广州,2017-11-17
范子铭,13,7,否,0-2,0-1,1-2,0,2,0,2,0,1,0,0,2,0/0,1,广州,2017-11-17
罗旭东,9,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,广州,2017-11-17
张帆,23,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,广州,2017-11-17
史俊,3,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,广州,2017-11-17
刘子豪,25,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,广州,2017-11-17
张晓磊,6,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,广州,2017-11-17
王玥,32,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,广州,2017-11-17
郭凯,14,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,广州,2017-11-17
骆永轩,5,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,广州,2017-11-17
