player,NO,Minutes,Starter,2Pt,3Pt,FT,OffReb,DefReb,Ass,Foul,Steal,TO,Block,Dunk,Fouled,Fast_break,Scores,team,date
易建联,9,25,是,8-13,1-2,11-14,4,4,0,1,1,0,1,1,7,0/0,30,广东,2018-11-22
德莱尼,23,29,是,4-6,3-10,7-7,1,4,6,2,2,0,0,0,7,0/0,24,广东,2018-11-22
周鹏,11,28,是,2-3,3-5,0-1,2,3,0,3,1,2,0,0,2,0/0,13,广东,2018-11-22
杜润旺,18,26,是,1-3,3-4,0-0,2,1,2,6,0,3,0,0,1,0/0,11,广东,2018-11-22
胡明轩,1,29,是,2-5,1-3,3-3,0,3,3,2,0,4,1,0,1,0/0,10,广东,2018-11-22
威姆斯,13,30,否,6-9,2-3,7-7,0,6,8,0,3,0,0,2,5,0/0,25,广东,2018-11-22
苏伟,12,15,否,2-3,0-0,4-4,2,1,0,2,0,0,1,0,2,0/0,8,广东,2018-11-22
徐杰,2,17,否,2-3,0-1,2-2,0,1,3,1,1,0,0,0,2,0/0,6,广东,2018-11-22
任骏飞,20,17,否,3-8,0-0,0-0,4,3,1,0,1,0,0,0,0,0/0,6,广东,2018-11-22
刁成灏,27,9,否,0-0,0-0,2-2,0,0,0,2,0,0,0,0,1,0/0,2,广东,2018-11-22
曾繁日,22,8,否,1-1,0-0,0-0,1,1,0,2,0,1,0,0,0,0/0,2,广东,2018-11-22
王薪凯,5,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,广东,2018-11-22
万圣伟,51,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,广东,2018-11-22
纪祥,39,2,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,广东,2018-11-22
赵睿,10,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,广东,2018-11-22
孟铎,3,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,广东,2018-11-22
穆罕默德,15,33,是,7-12,3-6,9-11,5,9,5,3,1,3,0,1,7,0/0,32,山西,2018-11-22
李敬宇,11,30,是,1-2,6-8,1-2,1,2,2,3,0,3,0,0,3,0/0,21,山西,2018-11-22
闫鹏飞,9,30,是,5-10,0-0,0-0,1,2,1,4,0,1,0,0,0,0/0,10,山西,2018-11-22
葛昭宝,21,28,是,3-9,0-0,3-4,1,1,0,2,1,2,0,0,4,0/0,9,山西,2018-11-22
王洪,13,23,是,0-0,1-2,0-0,1,2,3,6,0,1,0,0,1,0/0,3,山西,2018-11-22
任骏威,10,28,否,7-10,1-4,5-6,4,2,4,4,3,1,0,0,3,0/0,22,山西,2018-11-22
约什-亚当斯,14,22,否,1-4,2-5,2-2,1,1,2,1,0,2,0,1,2,0/0,10,山西,2018-11-22
邢志强,12,13,否,1-2,1-3,0-0,1,1,0,4,1,0,0,1,1,0/0,5,山西,2018-11-22
原帅,7,10,否,0-0,1-3,0-0,1,0,0,1,0,0,0,0,0,0/0,3,山西,2018-11-22
滕贺麒,8,2,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,山西,2018-11-22
侯兴宇,5,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,山西,2018-11-22
刘冠岑,17,8,否,0-2,0-0,0-0,0,1,2,0,1,0,0,0,0,0/0,0,山西,2018-11-22
任鹏鹏,55,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,山西,2018-11-22
孙伟博,19,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,山西,2018-11-22
班铎,23,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,山西,2018-11-22
张泽龙,24,7,否,0-0,0-1,0-0,0,0,0,0,0,0,0,0,0,0/0,0,山西,2018-11-22
