player,NO,Minutes,Starter,2Pt,3Pt,FT,OffReb,DefReb,Ass,Foul,Steal,TO,Block,Dunk,Fouled,Fast_break,Scores,team,date
方硕,8,40,是,3-8,5-15,2-3,1,1,1,4,0,1,0,0,3,0/0,23,北京,2018-03-14
汉密尔顿,41,36,是,5-7,1-3,0-0,4,8,2,2,0,0,6,1,2,0/0,13,北京,2018-03-14
常林,23,29,是,0-1,2-4,1-2,2,3,2,3,2,3,1,0,3,0/0,7,北京,2018-03-14
刘晓宇,10,16,是,1-1,0-2,0-0,0,1,2,1,0,0,0,0,1,0/0,2,北京,2018-03-14
王骁辉,33,15,是,0-1,0-2,0-0,0,0,1,4,0,0,0,0,0,0/0,0,北京,2018-03-14
艾伦-杰克逊,7,34,否,6-9,3-6,4-6,0,6,8,2,2,1,0,0,7,0/0,25,北京,2018-03-14
翟晓川,20,26,否,4-7,1-2,1-1,0,2,2,0,0,1,0,0,1,0/0,12,北京,2018-03-14
吉喆,51,28,否,0-2,2-2,0-0,3,1,1,3,0,2,0,0,1,0/0,6,北京,2018-03-14
段江鹏,11,10,否,0-0,1-1,0-0,0,0,0,1,0,0,0,0,0,0/0,3,北京,2018-03-14
王旭,4,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,北京,2018-03-14
王鑫磊,31,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,北京,2018-03-14
赵梓壹,17,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,北京,2018-03-14
张卓,22,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,北京,2018-03-14
张才仁,16,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,北京,2018-03-14
张松涛,35,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,北京,2018-03-14
段鸿瑞,29,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,北京,2018-03-14
朱彦西,13,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,北京,2018-03-14
丘天,19,1,否,0-0,0-0,0-0,0,1,0,0,0,0,0,0,0,0/0,0,北京,2018-03-14
哈德森,14,40,是,2-6,6-9,7-8,0,4,4,2,2,1,1,0,7,0/0,29,辽宁,2018-03-14
韩德君,55,26,是,9-13,0-0,0-0,1,2,0,5,0,2,1,0,1,0/0,18,辽宁,2018-03-14
李晓旭,22,25,是,4-6,2-3,0-0,3,2,0,2,0,0,0,0,1,0/0,14,辽宁,2018-03-14
郭艾伦,13,34,是,5-8,1-4,0-0,1,6,10,1,0,3,0,0,1,0/0,13,辽宁,2018-03-14
刘志轩,11,34,是,0-0,1-2,0-0,0,1,1,1,1,0,0,0,2,0/0,3,辽宁,2018-03-14
巴斯,30,31,否,4-16,0-0,2-2,1,3,5,2,0,2,0,0,4,0/0,10,辽宁,2018-03-14
赵继伟,3,28,否,1-3,0-2,3-3,1,1,2,4,3,0,0,0,3,0/0,5,辽宁,2018-03-14
钟诚,9,12,否,0-0,0-1,0-0,1,3,0,0,0,0,1,0,0,0/0,0,辽宁,2018-03-14
杨鸣,12,2,否,0-0,0-0,0-0,0,1,1,0,0,0,0,0,1,0/0,0,辽宁,2018-03-14
张宗睿,19,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,辽宁,2018-03-14
刘大为,16,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,辽宁,2018-03-14
孙锴祺,18,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,辽宁,2018-03-14
贺天举,6,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,辽宁,2018-03-14
郭旭,15,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,辽宁,2018-03-14
丛明晨,10,3,否,0-0,0-0,0-0,0,0,0,1,0,0,1,0,0,0/0,0,辽宁,2018-03-14
卫猛,23,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,辽宁,2018-03-14
赵率舟,17,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,辽宁,2018-03-14
