player,NO,Minutes,Starter,2Pt,3Pt,FT,OffReb,DefReb,Ass,Foul,Steal,TO,Block,Dunk,Fouled,Fast_break,Scores,team,date
刘航初,9,37,是,14-18,0-2,3-3,4,8,1,3,2,0,0,0,5,0/0,31,八一,2018-01-17
付豪,1,37,是,6-13,0-0,4-5,5,3,1,5,0,1,0,0,4,0/0,16,八一,2018-01-17
田宇翔,7,22,是,3-5,0-3,3-3,0,2,3,1,3,3,2,0,4,0/0,9,八一,2018-01-17
宁鸿宇,16,8,是,2-4,0-0,2-2,1,0,1,2,0,0,1,0,1,0/0,6,八一,2018-01-17
曹岩,8,37,是,0-4,1-7,1-2,0,1,1,2,2,0,0,0,1,0/0,4,八一,2018-01-17
德勒黑,22,26,否,3-5,1-2,1-4,2,5,1,3,0,0,0,0,3,0/0,10,八一,2018-01-17
阿尔斯兰,5,33,否,2-4,1-6,0-0,0,4,2,0,0,1,0,0,1,0/0,7,八一,2018-01-17
张祖铭,20,16,否,1-2,1-3,0-0,0,2,1,1,0,2,0,0,0,0/0,5,八一,2018-01-17
李天戈,6,4,否,1-2,0-0,0-0,1,0,0,0,0,1,0,0,0,0/0,2,八一,2018-01-17
罗凯文,13,15,否,1-1,0-1,0-0,0,2,1,0,0,1,0,0,1,0/0,2,八一,2018-01-17
余晨,15,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,八一,2018-01-17
许钟豪,24,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,八一,2018-01-17
邹雨宸,10,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,八一,2018-01-17
雷蒙,11,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,八一,2018-01-17
王俊霖,17,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,八一,2018-01-17
缪光旸,21,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,八一,2018-01-17
亚当斯,4,27,是,6-12,4-15,0-2,0,2,4,3,0,3,0,0,2,0/0,24,新疆,2018-01-17
孙桐林,55,34,是,8-11,0-0,2-4,7,9,4,2,1,3,0,0,3,0/0,18,新疆,2018-01-17
可兰白克,13,42,是,4-7,3-8,0-0,4,2,2,2,1,1,2,0,1,0/0,17,新疆,2018-01-17
西热力江,20,40,是,0-1,1-4,0-0,1,5,5,2,0,0,0,0,0,0/0,3,新疆,2018-01-17
孙鸣阳,21,12,是,0-1,0-0,2-6,4,0,0,2,0,1,0,0,3,0/0,2,新疆,2018-01-17
阿不都沙拉木,23,32,否,7-10,1-3,2-4,1,7,1,2,1,0,0,0,5,0/0,19,新疆,2018-01-17
奥古斯托-利马,23,20,否,6-13,0-0,3-4,5,6,1,4,0,1,2,1,3,0/0,15,新疆,2018-01-17
李学林,6,20,否,2-2,0-2,0-0,2,3,2,1,1,1,0,0,0,0/0,4,新疆,2018-01-17
刘丰博,3,2,否,1-1,0-0,0-0,0,0,0,1,0,0,0,0,0,0/0,2,新疆,2018-01-17
王子瑞,30,2,否,0-0,0-1,0-0,0,0,0,0,0,0,0,0,0,0/0,0,新疆,2018-01-17
卡米然斯地克江,2,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,新疆,2018-01-17
俞长栋,7,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,新疆,2018-01-17
李根,1,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,新疆,2018-01-17
唐才育,18,5,否,0-0,0-2,0-0,1,0,0,1,0,1,0,0,0,0/0,0,新疆,2018-01-17
