player,NO,Minutes,Starter,2Pt,3Pt,FT,OffReb,DefReb,Ass,Foul,Steal,TO,Block,Dunk,Fouled,Fast_break,Scores,team,date
弗格,18,48,是,12-21,5-13,16-17,1,4,4,3,2,5,0,0,16,0/0,55,广州,2017-11-12
桑尼,1,48,是,6-9,1-3,4-6,3,12,0,2,1,2,2,0,6,0/0,19,广州,2017-11-12
罗旭东,9,23,是,2-4,1-2,0-0,0,3,1,1,1,0,0,0,1,0/0,7,广州,2017-11-12
鞠明欣,8,17,是,0-2,1-1,1-2,1,3,1,2,0,1,0,0,2,0/0,4,广州,2017-11-12
汉斯布鲁,11,27,否,3-7,0-0,4-9,6,3,0,4,1,4,0,1,5,0/0,10,广州,2017-11-12
胡珑贸,15,27,否,1-2,1-4,2-4,1,2,1,5,1,0,0,0,2,0/0,7,广州,2017-11-12
郑准,50,12,否,1-1,1-4,1-1,1,0,0,3,0,0,1,0,1,0/0,6,广州,2017-11-12
陈盈骏,2,31,否,0-1,1-5,1-4,0,1,2,4,2,0,0,0,4,0/0,4,广州,2017-11-12
衡艺丰,21,10,否,0-0,0-1,1-2,1,1,0,1,0,0,0,0,1,0/0,1,广州,2017-11-12
朱旭航,10,2,否,0-1,0-0,0-0,1,0,0,1,0,0,0,0,0,0/0,0,广州,2017-11-12
张晓磊,6,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,广州,2017-11-12
郭凯,14,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,广州,2017-11-12
刘子豪,25,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,广州,2017-11-12
谷玥灼,7,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,广州,2017-11-12
张帆,23,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,广州,2017-11-12
史俊,3,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,广州,2017-11-12
王玥,32,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,广州,2017-11-12
骆永轩,5,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,广州,2017-11-12
布鲁克斯,2,41,是,12-17,5-13,6-9,4,8,6,1,2,2,1,2,9,0/0,45,江苏,2017-11-12
吴冠希,11,18,是,4-6,0-0,0-1,2,2,0,1,2,1,0,0,3,0/0,8,江苏,2017-11-12
李原宇,16,32,是,2-8,0-4,1-2,6,1,1,6,0,0,0,0,2,0/0,5,江苏,2017-11-12
曹飞,23,21,是,0-0,1-3,1-2,0,3,2,3,2,0,0,0,4,0/0,4,江苏,2017-11-12
侯逸凡,31,18,是,0-0,1-1,0-0,0,2,0,5,0,1,0,0,0,0/0,3,江苏,2017-11-12
拉杜利察,13,34,否,8-11,0-0,4-4,3,7,4,4,1,3,0,1,5,0/0,20,江苏,2017-11-12
易立,8,37,否,4-10,2-6,2-2,2,0,3,5,2,2,0,0,1,0/0,16,江苏,2017-11-12
柳伟,15,19,否,3-5,0-0,2-2,0,4,0,6,0,0,1,0,3,0/0,8,江苏,2017-11-12
史鸿飞,4,35,否,1-2,1-4,1-2,1,4,2,4,3,3,0,0,3,0/0,6,江苏,2017-11-12
常亚松,3,4,否,0-0,0-0,0-0,0,1,0,3,0,0,0,0,1,0/0,0,江苏,2017-11-12
张有为,33,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,江苏,2017-11-12
吴俣成,27,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,江苏,2017-11-12
戎浩峰,30,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,江苏,2017-11-12
陈磊,22,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,江苏,2017-11-12
刘亚晖,9,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,江苏,2017-11-12
刘磊,45,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,江苏,2017-11-12
