player,NO,Minutes,Starter,2Pt,3Pt,FT,OffReb,DefReb,Ass,Foul,Steal,TO,Block,Dunk,Fouled,Fast_break,Scores,team,date
乔-杨,3,38,是,13-21,1-7,2-2,2,8,5,1,2,1,0,1,4,0/0,31,同曦,2018-12-20
郭一飞,10,19,是,2-3,1-2,2-3,1,4,2,0,1,1,0,0,2,0/0,9,同曦,2018-12-20
于长春,6,16,是,1-3,1-5,0-0,1,0,0,2,1,1,0,0,1,0/0,5,同曦,2018-12-20
买尔丹,33,18,是,1-1,0-0,0-0,0,2,0,2,0,0,0,0,0,0/0,2,同曦,2018-12-20
何敬佳,20,14,是,1-3,0-0,0-0,0,0,1,1,0,0,0,0,1,0/0,2,同曦,2018-12-20
冯欣,11,36,否,3-5,5-5,0-0,0,5,13,1,0,1,0,0,0,0/0,21,同曦,2018-12-20
奥斯汀,2,33,否,6-14,1-5,1-2,1,6,4,3,1,0,2,1,3,0/0,16,同曦,2018-12-20
宋建骅,8,29,否,2-3,1-6,0-0,1,1,2,4,0,0,1,0,2,0/0,7,同曦,2018-12-20
王睿,21,9,否,1-1,1-1,0-0,0,1,0,1,0,1,0,0,0,0/0,5,同曦,2018-12-20
惠龙儿,18,16,否,2-3,0-0,0-0,2,2,0,3,0,0,0,0,1,0/0,4,同曦,2018-12-20
乔文瀚,9,8,否,0-1,1-2,0-0,1,2,0,0,0,1,0,0,0,0/0,3,同曦,2018-12-20
杨力,19,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,同曦,2018-12-20
张翌星,17,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,同曦,2018-12-20
张财宝,22,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,同曦,2018-12-20
李泓澎,35,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,同曦,2018-12-20
李佳益,39,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,同曦,2018-12-20
冷振铎,12,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,同曦,2018-12-20
张韩,29,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,同曦,2018-12-20
李柏润,1,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,同曦,2018-12-20
路易斯-斯科拉,4,35,是,8-13,0-3,3-5,4,9,4,1,0,1,0,0,5,0/0,19,上海,2018-12-20
罗汉琛,33,35,是,2-7,2-3,2-2,1,3,8,1,1,1,0,0,1,0/0,12,上海,2018-12-20
张兆旭,23,39,是,4-5,0-0,1-3,2,10,3,4,1,1,4,1,6,0/0,9,上海,2018-12-20
黄旭,3,7,是,0-0,1-3,0-0,0,1,0,0,0,1,0,0,0,0/0,3,上海,2018-12-20
卢伟,12,15,是,0-3,0-1,0-0,1,1,0,0,0,0,0,0,0,0/0,0,上海,2018-12-20
弗雷戴特,32,36,否,11-17,6-12,7-7,1,4,9,0,2,2,0,0,3,0/0,47,上海,2018-12-20
唐子豪,7,24,否,5-7,0-1,0-0,1,0,1,4,0,0,0,0,0,0/0,10,上海,2018-12-20
蔡亮,1,29,否,3-5,0-4,1-2,0,3,0,4,0,1,0,0,2,0/0,7,上海,2018-12-20
孟令源,5,16,否,0-0,2-2,0-0,0,2,2,0,0,1,0,0,1,0/0,6,上海,2018-12-20
罗智,27,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,上海,2018-12-20
刘炜,8,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,上海,2018-12-20
罗旭东,13,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,上海,2018-12-20
朱瀛,19,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,上海,2018-12-20
颜鹏,0,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,上海,2018-12-20
王潼,25,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,上海,2018-12-20
田雨晨,11,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,上海,2018-12-20
黄世乾,21,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,上海,2018-12-20
董瀚麟,16,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,上海,2018-12-20
施宇晨,47,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,上海,2018-12-20
