player,NO,Minutes,Starter,2Pt,3Pt,FT,OffReb,DefReb,Ass,Foul,Steal,TO,Block,Dunk,Fouled,Fast_break,Scores,team,date
J.J-希克森,44,38,是,17-25,0-1,3-4,3,10,1,3,1,1,0,1,7,0/0,37,同曦,2017-11-30
郭一飞,10,25,是,0-1,2-3,0-0,0,7,0,3,0,0,0,0,0,0/0,6,同曦,2017-11-30
巴赫拉米,14,14,是,1-1,0-1,0-0,0,1,4,0,0,2,0,0,0,0/0,2,同曦,2017-11-30
杨力,19,26,是,1-2,0-1,0-0,2,3,2,3,1,0,0,0,1,0/0,2,同曦,2017-11-30
冯欣,66,14,是,0-3,0-0,0-0,1,3,3,0,0,2,0,0,0,0/0,0,同曦,2017-11-30
琼斯,55,33,否,11-21,2-6,7-7,1,3,4,1,0,2,0,0,6,0/0,35,同曦,2017-11-30
宋建骅,8,30,否,3-5,2-4,4-4,0,1,1,4,0,0,1,0,2,0/0,16,同曦,2017-11-30
唐正东,9,15,否,6-6,0-0,0-2,2,3,1,5,0,1,1,0,1,0/0,12,同曦,2017-11-30
周仪翔,6,23,否,2-3,0-2,2-2,0,5,2,3,1,1,0,0,1,0/0,6,同曦,2017-11-30
买尔丹,33,16,否,2-3,0-0,0-0,0,2,1,3,0,0,0,0,1,0/0,4,同曦,2017-11-30
于长春,16,1,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,同曦,2017-11-30
张财宝,22,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,同曦,2017-11-30
姜博,64,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,同曦,2017-11-30
魏政贤,2,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,同曦,2017-11-30
张翌星,17,0,否,0-0,0-0,0-0,0,0,0,1,0,0,0,0,0,0/0,0,同曦,2017-11-30
冷振铎,12,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,同曦,2017-11-30
何敬佳,20,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,同曦,2017-11-30
王睿,25,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,同曦,2017-11-30
毕鹏飞,23,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,同曦,2017-11-30
黄子恒,13,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,同曦,2017-11-30
乔文瀚,7,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,同曦,2017-11-30
哈达迪,15,34,是,5-12,0-0,10-12,4,9,2,2,1,1,0,1,8,0/0,20,四川,2017-11-30
刘炜,8,35,是,3-12,1-2,5-5,1,2,4,1,0,0,0,0,3,0/0,14,四川,2017-11-30
吴楠,10,21,是,4-4,1-5,0-0,0,1,0,2,2,0,0,0,1,0/0,11,四川,2017-11-30
左朕年,13,24,是,5-7,0-1,0-1,0,2,0,1,0,1,0,0,2,0/0,10,四川,2017-11-30
孟达,12,36,是,3-8,1-3,0-0,1,4,4,2,1,1,0,0,0,0/0,9,四川,2017-11-30
富兰克林,11,37,否,7-14,0-5,12-14,3,11,7,3,3,4,2,0,10,0/0,26,四川,2017-11-30
陈晓东,30,23,否,2-2,1-1,0-0,0,0,1,3,0,1,0,0,0,0/0,7,四川,2017-11-30
徐煜峰,9,13,否,2-4,0-0,1-3,1,0,0,3,1,0,0,0,2,0/0,5,四川,2017-11-30
黄荣奇,7,7,否,1-2,1-1,0-0,2,1,0,1,0,2,0,0,0,0/0,5,四川,2017-11-30
侯天一,14,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,四川,2017-11-30
张瀚月,25,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,四川,2017-11-30
李柯七,17,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,四川,2017-11-30
杨越,6,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,四川,2017-11-30
王政博,16,5,否,0-0,0-1,0-0,0,0,0,1,0,1,0,0,0,0/0,0,四川,2017-11-30
赵杭,26,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,四川,2017-11-30
陈辰,32,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,四川,2017-11-30
钟一帆,20,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,四川,2017-11-30
