player,NO,Minutes,Starter,2Pt,3Pt,FT,OffReb,DefReb,Ass,Foul,Steal,TO,Block,Dunk,Fouled,Fast_break,Scores,team,date
刘铮,11,29,是,3-5,3-6,2-2,4,2,3,4,3,3,0,0,3,0/0,17,广厦,2018-11-09
福特森,4,39,是,5-14,0-5,4-6,2,7,8,3,5,3,0,0,9,0/0,14,广厦,2018-11-09
胡金秋,21,40,是,6-10,0-0,0-0,2,2,1,0,0,0,0,0,2,0/0,12,广厦,2018-11-09
李京龙,9,24,是,1-2,3-8,0-0,0,1,0,0,0,0,0,0,0,0/0,11,广厦,2018-11-09
苏若禹,5,10,是,0-2,0-0,0-0,1,2,0,2,0,0,1,0,0,0/0,0,广厦,2018-11-09
赵岩昊,25,34,否,4-7,3-7,5-7,3,0,2,2,3,0,1,2,7,0/0,22,广厦,2018-11-09
博洛西斯,29,30,否,2-6,2-7,0-0,1,6,4,4,1,1,1,0,1,0/0,10,广厦,2018-11-09
孙铭徽,17,20,否,1-3,0-3,1-2,2,1,4,2,2,0,0,0,2,0/0,3,广厦,2018-11-09
赵天熠,15,3,否,1-2,0-0,0-0,0,0,0,0,0,1,0,0,0,0/0,2,广厦,2018-11-09
李斌,8,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,广厦,2018-11-09
吴羽佳,10,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,广厦,2018-11-09
李金效,13,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,广厦,2018-11-09
林志杰,27,6,否,0-0,0-1,0-0,0,0,0,2,1,0,0,0,1,0/0,0,广厦,2018-11-09
鞠鹏,12,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,广厦,2018-11-09
赵大鹏,30,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,广厦,2018-11-09
汉密尔顿,41,38,是,14-19,0-2,3-4,3,8,4,4,0,2,0,2,4,0/0,31,北京,2018-11-09
刘晓宇,10,32,是,1-4,3-4,0-0,0,4,5,4,1,3,0,0,1,0/0,11,北京,2018-11-09
王骁辉,33,26,是,1-3,1-2,0-0,0,3,2,3,1,1,0,0,0,0/0,5,北京,2018-11-09
张卓,22,10,是,2-3,0-0,0-0,0,2,0,2,0,0,0,0,0,0/0,4,北京,2018-11-09
张才仁,16,29,是,1-3,0-1,0-0,1,1,1,1,0,1,0,0,1,0/0,2,北京,2018-11-09
艾伦-杰克逊,7,33,否,6-12,2-3,8-9,2,5,7,2,0,5,0,0,8,0/0,26,北京,2018-11-09
翟晓川,20,28,否,4-4,1-1,1-2,0,3,1,5,0,3,0,0,3,0/0,12,北京,2018-11-09
丘天,19,5,否,1-1,0-0,2-2,0,0,0,0,0,0,0,0,1,0/0,4,北京,2018-11-09
王旭,4,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,北京,2018-11-09
王鑫磊,31,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,北京,2018-11-09
方硕,8,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,北京,2018-11-09
赵晏满,1,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,北京,2018-11-09
赵梓壹,17,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,北京,2018-11-09
段鸿瑞,29,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,北京,2018-11-09
朱彦西,13,33,否,0-0,0-3,0-0,0,6,0,4,2,2,1,0,1,0/0,0,北京,2018-11-09
段江鹏,11,2,否,0-0,0-1,0-0,0,1,0,0,0,1,0,0,0,0/0,0,北京,2018-11-09
常林,23,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,北京,2018-11-09
张松涛,35,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,北京,2018-11-09
陈赞宇,21,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,北京,2018-11-09
