player,NO,Minutes,Starter,2Pt,3Pt,FT,OffReb,DefReb,Ass,Foul,Steal,TO,Block,Dunk,Fouled,Fast_break,Scores,team,date
富兰克林,11,43,是,6-9,2-8,9-9,0,5,9,0,2,1,2,1,9,0/0,27,四川,2018-11-14
贾森-汤普森,1,40,是,11-15,1-3,1-2,4,10,1,4,1,1,0,2,4,0/0,26,四川,2018-11-14
陈辰,32,24,是,1-2,1-3,2-2,0,2,1,2,0,1,0,0,2,0/0,7,四川,2018-11-14
王政博,16,26,是,1-2,0-1,0-0,0,0,1,0,0,2,0,0,0,0/0,2,四川,2018-11-14
曾文鼎,76,12,是,0-2,0-0,0-0,1,2,2,3,0,0,0,0,1,0/0,0,四川,2018-11-14
孟达,12,26,否,4-5,2-6,0-0,0,2,3,0,0,3,0,0,0,0/0,14,四川,2018-11-14
黄荣奇,7,27,否,5-8,0-8,0-2,3,3,3,3,0,1,0,0,3,0/0,10,四川,2018-11-14
陈晓东,30,9,否,0-0,1-1,0-0,1,0,0,4,0,0,0,0,0,0/0,3,四川,2018-11-14
左朕年,13,22,否,1-3,0-3,0-1,1,3,0,2,0,0,0,0,1,0/0,2,四川,2018-11-14
闵庆飞,21,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,四川,2018-11-14
钟一帆,20,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,四川,2018-11-14
侯天一,14,0,否,0-0,0-0,0-0,0,1,0,0,0,0,0,0,0,0/0,0,四川,2018-11-14
李柯七,17,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,四川,2018-11-14
杨越,6,5,否,0-1,0-1,0-0,0,0,0,1,0,1,0,0,0,0/0,0,四川,2018-11-14
袁振梁,55,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,四川,2018-11-14
景菡一,19,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,四川,2018-11-14
莫蒙尘,10,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,四川,2018-11-14
胡林森,8,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,四川,2018-11-14
张海阔,3,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,四川,2018-11-14
约翰逊,41,44,是,11-17,0-0,6-10,9,10,4,3,1,3,3,0,11,0/0,28,青岛,2018-11-14
张骋宇,6,45,是,5-11,3-9,0-0,0,2,2,3,1,0,0,0,2,0/0,19,青岛,2018-11-14
焦海龙,10,29,是,1-3,3-5,0-0,1,7,1,3,0,0,2,0,0,0/0,11,青岛,2018-11-14
杨凯,27,40,是,4-4,1-7,0-0,2,5,2,4,1,0,0,0,1,0/0,11,青岛,2018-11-14
许家晗,3,9,是,1-1,0-0,0-0,0,1,2,1,0,0,0,0,0,0/0,2,青岛,2018-11-14
吉布森,22,27,否,7-12,2-5,2-2,2,2,2,2,2,2,0,0,1,0/0,22,青岛,2018-11-14
王庆明,32,21,否,1-4,1-1,0-0,2,4,0,2,0,1,0,0,2,0/0,5,青岛,2018-11-14
寸守伟,18,1,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,青岛,2018-11-14
张涵钧,2,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,青岛,2018-11-14
周湛东,8,13,否,0-0,0-2,0-2,0,2,1,1,0,1,0,0,2,0/0,0,青岛,2018-11-14
杨金蒙,1,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,青岛,2018-11-14
王思奇,17,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,青岛,2018-11-14
刘书楠,7,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,青岛,2018-11-14
丁皓然,35,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,青岛,2018-11-14
翟逸,33,7,否,0-1,0-2,0-0,0,1,2,1,0,2,0,0,0,0/0,0,青岛,2018-11-14
宗赞,13,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,青岛,2018-11-14
高尚,0,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,青岛,2018-11-14
刘传兴,19,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,青岛,2018-11-14
史文龙,16,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,青岛,2018-11-14
邵英伦,11,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,青岛,2018-11-14
