player,NO,Minutes,Starter,2Pt,3Pt,FT,OffReb,DefReb,Ass,Foul,Steal,TO,Block,Dunk,Fouled,Fast_break,Scores,team,date
付豪,1,31,是,4-11,0-0,2-2,1,4,1,0,0,2,0,0,2,0/0,10,八一,2018-11-03
许钟豪,27,31,是,4-12,0-0,0-2,2,2,1,1,5,0,1,1,4,0/0,8,八一,2018-11-03
罗凯文,17,24,是,2-6,0-2,3-4,0,4,2,0,0,0,0,0,3,0/0,7,八一,2018-11-03
雷蒙,11,27,是,1-6,0-4,0-2,3,3,3,0,1,0,0,0,1,0/0,2,八一,2018-11-03
韩硕,33,14,是,0-2,0-3,0-0,0,2,2,2,0,1,0,0,2,0/0,0,八一,2018-11-03
阿尔斯兰,5,30,否,3-7,2-5,3-4,3,4,1,2,0,1,0,0,3,0/0,15,八一,2018-11-03
田宇翔,7,14,否,3-6,1-3,0-0,0,1,0,0,2,3,0,0,0,0/0,9,八一,2018-11-03
宁鸿宇,16,16,否,2-3,0-2,0-0,0,2,0,1,1,0,1,1,0,0/0,4,八一,2018-11-03
余晨,15,16,否,2-3,0-0,0-0,0,4,1,3,1,3,0,0,1,0/0,4,八一,2018-11-03
张旭,13,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,八一,2018-11-03
张祖铭,20,9,否,0-0,0-3,0-0,0,0,1,0,1,0,0,0,0,0/0,0,八一,2018-11-03
李天戈,6,13,否,0-2,0-2,0-0,1,1,2,1,1,1,0,0,1,0/0,0,八一,2018-11-03
曹岩,8,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,八一,2018-11-03
刘航初,9,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,八一,2018-11-03
胡彤浩,12,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,八一,2018-11-03
郭昊文,26,10,否,0-2,0-0,0-0,1,1,1,0,0,2,1,0,0,0/0,0,八一,2018-11-03
郭艾伦,13,21,是,4-10,2-5,0-0,0,6,3,1,1,0,0,0,1,0/0,14,辽宁,2018-11-03
丛明晨,10,30,是,1-2,3-4,2-2,2,5,1,2,1,2,1,0,1,0/0,13,辽宁,2018-11-03
哈德森,14,24,是,3-3,1-7,2-2,1,2,2,2,0,5,0,0,3,0/0,11,辽宁,2018-11-03
卫猛,23,24,是,4-7,0-0,0-0,3,7,1,4,3,2,0,1,0,0/0,8,辽宁,2018-11-03
李晓旭,22,30,是,1-6,1-2,0-0,4,10,1,1,0,0,3,1,0,0/0,5,辽宁,2018-11-03
巴斯,30,17,否,12-15,0-0,2-4,3,4,0,0,1,0,1,3,4,0/0,26,辽宁,2018-11-03
高诗岩,0,20,否,3-8,0-0,0-0,0,5,5,1,0,5,0,0,0,0/0,6,辽宁,2018-11-03
贺天举,6,32,否,1-5,1-5,0-0,0,5,4,5,0,3,0,0,0,0/0,5,辽宁,2018-11-03
杨鸣,12,11,否,1-2,0-0,0-0,0,0,0,0,0,0,0,0,1,0/0,2,辽宁,2018-11-03
赵继伟,3,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,辽宁,2018-11-03
马壮,35,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,辽宁,2018-11-03
郭旭,15,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,辽宁,2018-11-03
刘志轩,11,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,辽宁,2018-11-03
钟诚,9,22,否,0-1,0-2,0-0,0,2,1,1,1,0,0,0,0,0/0,0,辽宁,2018-11-03
孙锴祺,18,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,辽宁,2018-11-03
韩德君,55,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,辽宁,2018-11-03
鄢手骐,36,2,否,0-0,0-0,0-0,0,0,0,0,1,0,0,0,0,0/0,0,辽宁,2018-11-03
