player,NO,Minutes,Starter,2Pt,3Pt,FT,OffReb,DefReb,Ass,Foul,Steal,TO,Block,Dunk,Fouled,Fast_break,Scores,team,date
阿巴斯,15,39,是,9-13,1-5,9-12,2,12,4,2,4,3,2,1,7,0/0,30,北控,2018-01-02
杨敬敏,6,35,是,4-6,1-4,0-0,0,4,5,1,1,3,0,0,1,0/0,11,北控,2018-01-02
马布里,3,34,是,3-4,0-3,1-3,1,2,5,1,2,0,0,0,4,0/0,7,北控,2018-01-02
王征,28,7,是,2-3,0-0,1-1,2,1,0,1,0,0,0,0,2,0/0,5,北控,2018-01-02
李雪松,7,8,是,0-1,0-2,0-0,1,0,2,2,0,0,0,0,1,0/0,0,北控,2018-01-02
兰多夫,42,35,否,11-16,1-6,5-11,7,8,3,3,3,3,1,3,8,0/0,30,北控,2018-01-02
许梦君,9,28,否,2-3,3-7,0-0,0,1,0,2,0,0,0,0,0,0/0,13,北控,2018-01-02
贺希宁,0,24,否,3-4,1-4,1-2,0,0,0,4,0,0,1,0,2,0/0,10,北控,2018-01-02
于澍龙,5,13,否,1-1,1-2,0-0,0,0,0,2,0,2,0,0,1,0/0,5,北控,2018-01-02
于梁,11,10,否,0-1,1-1,0-0,0,2,0,4,0,0,0,0,0,0/0,3,北控,2018-01-02
贾俊龙,18,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,北控,2018-01-02
刘博,24,3,否,0-3,0-0,0-0,0,1,0,0,1,0,0,0,1,0/0,0,北控,2018-01-02
景浩扬,12,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,北控,2018-01-02
王梓旭,1,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,北控,2018-01-02
杨庚霖,10,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,北控,2018-01-02
滕贺麒,8,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,北控,2018-01-02
夏宇彤,13,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,北控,2018-01-02
宋康明,21,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,北控,2018-01-02
刘哲男,16,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,北控,2018-01-02
普-杰特,3,46,是,9-14,6-16,13-13,1,6,4,1,0,4,0,0,12,0/0,49,天津,2018-01-02
徐磊,77,36,是,2-3,2-6,4-4,2,4,2,5,1,1,0,0,2,0/0,14,天津,2018-01-02
李荣培,7,32,是,1-3,2-6,2-2,2,2,2,5,0,1,0,0,3,0/0,10,天津,2018-01-02
时德帅,23,15,是,2-3,1-5,0-0,1,7,0,3,1,2,0,0,2,0/0,7,天津,2018-01-02
张智涵,9,36,是,2-4,1-4,0-0,0,6,3,2,1,1,1,0,0,0/0,7,天津,2018-01-02
田垒,1,33,否,3-5,4-10,0-0,0,5,0,0,5,1,0,0,2,0/0,18,天津,2018-01-02
金鑫,10,9,否,1-2,0-0,0-0,1,2,0,2,0,0,0,0,1,0/0,2,天津,2018-01-02
史仪,22,18,否,1-1,0-4,0-0,0,1,2,4,0,2,0,0,0,0/0,2,天津,2018-01-02
于刚,77,9,否,1-1,0-0,0-0,0,2,1,5,0,3,0,1,0,0/0,2,天津,2018-01-02
张骥,13,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,天津,2018-01-02
孟祥龙,14,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,天津,2018-01-02
张晓阳,21,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,天津,2018-01-02
高森堡,20,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,天津,2018-01-02
韩博林,6,2,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,天津,2018-01-02
田野,17,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,天津,2018-01-02
陈卓,8,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,天津,2018-01-02
霍尔曼,32,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,天津,2018-01-02
刘伟,12,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,天津,2018-01-02
