player,NO,Minutes,Starter,2Pt,3Pt,FT,OffReb,DefReb,Ass,Foul,Steal,TO,Block,Dunk,Fouled,Fast_break,Scores,team,date
曾令旭,6,42,是,4-7,4-7,4-5,2,1,10,2,1,3,1,0,3,0/0,24,山西,2017-11-03
路易斯-斯科拉,4,32,是,10-15,0-1,3-3,4,3,4,0,3,1,1,0,2,0/0,23,山西,2017-11-03
邢志强,12,25,是,1-3,2-4,2-2,1,4,2,5,1,2,1,0,2,0/0,10,山西,2017-11-03
李敬宇,11,35,是,1-4,2-6,1-2,0,3,1,4,1,0,0,0,1,0/0,9,山西,2017-11-03
刘冠岑,17,17,是,2-3,1-2,0-0,0,1,0,0,2,2,0,0,2,0/0,7,山西,2017-11-03
詹宁斯,3,39,否,9-14,3-8,9-12,1,7,6,1,5,2,0,0,7,0/0,36,山西,2017-11-03
闫鹏飞,9,15,否,5-7,0-0,2-2,1,3,0,2,0,1,0,1,2,0/0,12,山西,2017-11-03
张学文,33,22,否,3-4,0-1,2-2,0,3,1,3,3,0,0,0,2,0/0,8,山西,2017-11-03
张泽龙,24,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,山西,2017-11-03
李旭,20,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,山西,2017-11-03
班铎,23,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,山西,2017-11-03
沙威剑,19,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,山西,2017-11-03
侯兴宇,15,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,山西,2017-11-03
王磊,8,3,否,0-0,0-0,0-0,0,1,0,0,0,0,0,0,0,0/0,0,山西,2017-11-03
原帅,7,4,否,0-0,0-2,0-0,0,0,0,1,1,1,0,0,0,0/0,0,山西,2017-11-03
王重阳,18,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,山西,2017-11-03
王洪,13,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,山西,2017-11-03
霍尔曼,32,37,是,9-14,0-1,12-12,9,11,3,1,2,2,4,2,6,0/0,30,天津,2017-11-03
时德帅,23,33,是,5-6,2-7,0-0,3,2,1,6,1,5,0,0,0,0/0,16,天津,2017-11-03
李荣培,7,22,是,4-6,0-5,0-0,0,0,1,1,1,1,0,0,2,0/0,8,天津,2017-11-03
史仪,22,17,是,0-3,2-2,0-0,0,1,2,5,1,4,0,0,0,0/0,6,天津,2017-11-03
孟祥龙,14,5,是,0-0,0-0,0-0,0,1,0,0,0,2,0,0,0,0/0,0,天津,2017-11-03
普-杰特,3,34,否,8-12,3-8,2-2,2,9,8,0,1,6,0,0,2,0/0,27,天津,2017-11-03
韩博林,6,31,否,0-4,4-9,2-2,1,0,2,5,1,0,0,0,3,0/0,14,天津,2017-11-03
张智涵,9,32,否,1-3,2-5,0-0,0,1,1,2,0,1,0,0,2,0/0,8,天津,2017-11-03
徐磊,77,10,否,1-1,1-1,2-2,0,1,0,1,0,0,0,0,1,0/0,7,天津,2017-11-03
田垒,1,14,否,0-0,0-2,1-3,0,1,0,1,0,2,0,0,1,0/0,1,天津,2017-11-03
陈卓,8,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,天津,2017-11-03
田野,17,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,天津,2017-11-03
高森堡,20,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,天津,2017-11-03
张骥,13,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,天津,2017-11-03
刘伟,12,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,天津,2017-11-03
于刚,77,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,天津,2017-11-03
张晓阳,21,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,天津,2017-11-03
金鑫,10,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,天津,2017-11-03
