player,NO,Minutes,Starter,2Pt,3Pt,FT,OffReb,DefReb,Ass,Foul,Steal,TO,Block,Dunk,Fouled,Fast_break,Scores,team,date
汉密尔顿,41,25,是,7-12,1-1,1-2,2,5,2,0,0,0,1,0,2,0/0,18,北京,2018-11-15
张卓,22,22,是,2-3,0-1,3-4,2,3,2,5,1,2,0,1,3,0/0,7,北京,2018-11-15
王骁辉,33,22,是,0-1,2-3,0-0,0,5,1,2,1,0,0,0,1,0/0,6,北京,2018-11-15
张才仁,16,18,是,1-2,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,2,北京,2018-11-15
刘晓宇,10,22,是,0-5,0-0,0-0,0,3,6,1,1,2,0,0,2,0/0,0,北京,2018-11-15
艾伦-杰克逊,7,22,否,6-10,0-0,5-6,1,2,4,1,1,2,0,0,6,0/0,17,北京,2018-11-15
翟晓川,20,27,否,3-11,2-2,3-3,1,5,1,0,0,2,0,0,3,0/0,15,北京,2018-11-15
王旭,4,21,否,2-2,2-3,0-0,1,2,0,4,2,1,0,0,0,0/0,10,北京,2018-11-15
段江鹏,11,22,否,3-5,0-3,1-2,1,0,1,1,0,1,0,0,1,0/0,7,北京,2018-11-15
丘天,19,22,否,3-5,0-0,0-0,2,1,0,4,0,2,1,0,0,0/0,6,北京,2018-11-15
朱彦西,13,14,否,0-1,1-2,0-0,0,4,1,1,1,0,0,0,1,0/0,3,北京,2018-11-15
常林,23,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,北京,2018-11-15
张松涛,35,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,北京,2018-11-15
王鑫磊,31,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,北京,2018-11-15
方硕,8,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,北京,2018-11-15
赵晏满,1,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,北京,2018-11-15
赵梓壹,17,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,北京,2018-11-15
段鸿瑞,29,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,北京,2018-11-15
陈赞宇,21,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,北京,2018-11-15
雷蒙,11,40,是,5-9,3-10,0-0,0,4,3,1,4,3,0,0,4,0/0,19,八一,2018-11-15
罗凯文,17,43,是,4-8,2-5,0-0,2,2,0,4,0,1,0,0,1,0/0,14,八一,2018-11-15
付豪,1,23,是,4-10,0-0,4-4,5,3,0,4,1,3,0,0,4,0/0,12,八一,2018-11-15
许钟豪,27,40,是,3-7,0-0,2-2,2,10,1,4,0,1,4,0,2,0/0,8,八一,2018-11-15
田宇翔,7,19,是,1-2,0-1,0-0,0,1,3,0,0,0,0,0,0,0/0,2,八一,2018-11-15
宁鸿宇,16,22,否,5-6,0-2,1-1,0,0,0,2,0,0,1,0,1,0/0,11,八一,2018-11-15
阿尔斯兰,5,28,否,0-2,2-7,2-2,1,1,8,0,0,1,0,0,4,0/0,8,八一,2018-11-15
张祖铭,20,13,否,2-2,0-2,0-0,0,0,0,3,0,2,0,1,0,0/0,4,八一,2018-11-15
郭昊文,26,7,否,0-1,0-1,2-2,0,1,0,1,0,0,0,0,3,0/0,2,八一,2018-11-15
曹岩,8,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,八一,2018-11-15
李天戈,6,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,八一,2018-11-15
胡彤浩,12,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,八一,2018-11-15
张旭,13,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,八一,2018-11-15
韩硕,33,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,八一,2018-11-15
余晨,15,1,否,0-1,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,八一,2018-11-15
刘航初,9,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,八一,2018-11-15
