player,NO,Minutes,Starter,2Pt,3Pt,FT,OffReb,DefReb,Ass,Foul,Steal,TO,Block,Dunk,Fouled,Fast_break,Scores,team,date
福特森,4,36,是,9-16,0-2,5-9,2,11,12,2,2,1,1,0,5,0/0,23,广厦,2018-11-18
胡金秋,21,26,是,6-9,0-0,7-9,3,4,0,1,0,1,2,0,5,0/0,19,广厦,2018-11-18
赵岩昊,25,22,是,4-4,2-4,2-2,0,0,1,2,0,0,1,0,2,0/0,16,广厦,2018-11-18
苏若禹,5,20,是,1-4,0-0,0-2,1,3,0,1,1,0,0,0,3,0/0,2,广厦,2018-11-18
林志杰,27,13,是,0-1,0-2,1-2,0,2,1,2,1,0,0,0,2,0/0,1,广厦,2018-11-18
博洛西斯,29,28,否,2-10,3-7,2-2,3,2,5,3,1,2,0,0,5,0/0,15,广厦,2018-11-18
孙铭徽,17,29,否,2-3,3-4,0-0,3,1,5,3,3,1,0,1,0,0/0,13,广厦,2018-11-18
李京龙,9,22,否,0-0,4-7,0-0,0,0,2,3,1,1,0,0,0,0/0,12,广厦,2018-11-18
刘铮,11,15,否,1-3,1-2,2-2,1,2,3,2,1,1,0,0,1,0/0,7,广厦,2018-11-18
赵天熠,15,14,否,3-6,0-0,0-0,0,0,0,4,0,0,1,0,2,0/0,6,广厦,2018-11-18
赵大鹏,30,3,否,1-1,1-1,0-0,0,0,0,3,0,1,0,0,0,0/0,5,广厦,2018-11-18
鞠鹏,12,5,否,0-0,0-1,1-2,0,1,1,2,0,0,0,0,1,0/0,1,广厦,2018-11-18
李金效,13,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,广厦,2018-11-18
吴羽佳,10,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,广厦,2018-11-18
李斌,8,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,广厦,2018-11-18
贾森-汤普森,1,44,是,12-16,0-1,4-5,3,17,1,4,0,4,1,1,12,0/0,28,四川,2018-11-18
陈辰,32,26,是,3-5,2-4,4-5,1,0,1,5,1,2,1,0,4,0/0,16,四川,2018-11-18
富兰克林,11,34,是,6-11,0-3,0-2,0,7,5,3,1,4,3,0,5,0/0,12,四川,2018-11-18
陈晓东,30,5,是,0-0,0-0,0-0,0,0,0,1,0,0,1,0,0,0/0,0,四川,2018-11-18
黄荣奇,7,5,是,0-0,0-1,0-0,0,1,0,0,0,1,0,0,0,0/0,0,四川,2018-11-18
王政博,16,33,否,6-10,1-5,3-4,1,3,7,3,1,2,0,0,2,0/0,18,四川,2018-11-18
杨越,6,34,否,1-1,2-5,5-6,1,2,2,4,1,1,0,0,4,0/0,13,四川,2018-11-18
孟达,12,27,否,1-3,3-4,0-0,1,0,2,2,2,3,0,0,0,0/0,11,四川,2018-11-18
侯天一,14,10,否,0-1,0-2,1-2,3,2,0,1,0,2,0,0,1,0/0,1,四川,2018-11-18
李柯七,17,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,四川,2018-11-18
钟一帆,20,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,四川,2018-11-18
景菡一,19,4,否,0-0,0-0,0-0,0,0,0,2,0,2,0,0,0,0/0,0,四川,2018-11-18
莫蒙尘,10,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,四川,2018-11-18
胡林森,8,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,四川,2018-11-18
左朕年,13,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,四川,2018-11-18
闵庆飞,21,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,四川,2018-11-18
袁振梁,55,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,四川,2018-11-18
曾文鼎,76,12,否,0-0,0-1,0-0,0,0,0,1,0,0,0,0,0,0/0,0,四川,2018-11-18
张海阔,3,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,四川,2018-11-18
