player,NO,Minutes,Starter,2Pt,3Pt,FT,OffReb,DefReb,Ass,Foul,Steal,TO,Block,Dunk,Fouled,Fast_break,Scores,team,date
汉密尔顿,41,36,是,8-11,0-2,0-0,2,6,4,2,3,1,0,4,3,0/0,16,北京,2018-11-13
刘晓宇,10,20,是,3-4,2-3,2-4,0,1,2,2,0,2,0,0,2,0/0,14,北京,2018-11-13
王骁辉,33,27,是,0-1,1-2,0-0,1,3,1,1,0,0,0,0,0,0/0,3,北京,2018-11-13
张卓,22,11,是,1-2,0-0,1-3,1,1,0,1,0,1,0,0,1,0/0,3,北京,2018-11-13
张才仁,16,14,是,1-2,0-2,0-2,0,3,0,1,0,1,0,0,2,0/0,2,北京,2018-11-13
艾伦-杰克逊,7,32,否,7-9,1-1,3-4,1,6,9,1,1,3,0,0,7,0/0,20,北京,2018-11-13
朱彦西,13,30,否,1-1,4-6,0-0,0,1,0,1,0,0,0,0,0,0/0,14,北京,2018-11-13
段江鹏,11,27,否,2-3,1-4,0-0,0,2,4,4,1,0,0,0,1,0/0,7,北京,2018-11-13
翟晓川,20,20,否,1-3,1-4,1-2,1,5,3,0,1,1,1,0,1,0/0,6,北京,2018-11-13
丘天,19,11,否,2-3,0-0,0-0,0,1,1,2,1,2,1,0,1,0/0,4,北京,2018-11-13
常林,23,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,北京,2018-11-13
张松涛,35,3,否,0-0,0-0,0-1,0,0,0,1,0,0,0,0,0,0/0,0,北京,2018-11-13
王旭,4,3,否,0-1,0-0,0-0,1,1,1,0,0,0,0,0,0,0/0,0,北京,2018-11-13
王鑫磊,31,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,北京,2018-11-13
方硕,8,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,北京,2018-11-13
赵晏满,1,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,北京,2018-11-13
赵梓壹,17,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,北京,2018-11-13
段鸿瑞,29,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,北京,2018-11-13
陈赞宇,21,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,北京,2018-11-13
于长春,6,27,是,1-6,3-6,3-4,0,3,0,4,1,0,0,0,2,0/0,14,同曦,2018-11-13
郭一飞,10,34,是,2-5,2-6,2-2,1,3,2,2,3,1,0,0,3,0/0,12,同曦,2018-11-13
张财宝,22,36,是,0-1,3-4,0-0,1,3,4,4,1,1,0,0,1,0/0,9,同曦,2018-11-13
乔-杨,3,31,是,3-9,0-3,2-2,2,1,4,3,0,5,0,0,7,0/0,8,同曦,2018-11-13
买尔丹,33,14,是,3-4,0-0,0-0,0,0,0,1,0,3,0,0,1,0/0,6,同曦,2018-11-13
佩恩,5,33,否,5-8,1-3,1-2,3,7,2,2,3,1,0,1,2,0/0,14,同曦,2018-11-13
宋建骅,8,34,否,1-5,2-6,0-0,4,3,4,0,1,1,0,0,0,0/0,8,同曦,2018-11-13
何敬佳,20,5,否,1-2,0-0,0-0,1,0,0,2,0,0,0,0,0,0/0,2,同曦,2018-11-13
乔文瀚,9,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,同曦,2018-11-13
杨力,19,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,同曦,2018-11-13
张翌星,17,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,同曦,2018-11-13
冯欣,11,23,否,0-1,0-1,0-0,0,1,2,1,1,1,0,0,0,0/0,0,同曦,2018-11-13
李泓澎,35,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,同曦,2018-11-13
王睿,21,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,同曦,2018-11-13
李佳益,39,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,同曦,2018-11-13
冷振铎,12,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,同曦,2018-11-13
张韩,29,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,同曦,2018-11-13
惠龙儿,18,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,同曦,2018-11-13
李柏润,1,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,同曦,2018-11-13
