player,NO,Minutes,Starter,2Pt,3Pt,FT,OffReb,DefReb,Ass,Foul,Steal,TO,Block,Dunk,Fouled,Fast_break,Scores,team,date
左朕年,13,31,是,6-8,2-3,3-4,0,2,0,2,0,1,0,0,2,0/0,21,四川,2017-12-03
孟达,12,42,是,3-6,3-10,0-0,0,5,1,2,2,2,0,0,0,0/0,15,四川,2017-12-03
哈达迪,15,38,是,5-12,0-1,4-6,2,6,11,4,0,3,2,1,7,0/0,14,四川,2017-12-03
刘炜,8,36,是,4-9,1-3,1-1,2,2,4,2,1,3,0,0,1,0/0,12,四川,2017-12-03
吴楠,10,21,是,2-5,1-3,0-0,0,3,0,1,1,0,0,0,1,0/0,7,四川,2017-12-03
富兰克林,11,33,否,1-2,2-5,12-13,1,6,3,5,5,4,0,1,13,0/0,20,四川,2017-12-03
陈晓东,30,14,否,4-4,0-0,2-3,0,2,3,4,0,1,0,0,2,0/0,10,四川,2017-12-03
徐煜峰,9,10,否,3-4,0-0,0-0,1,2,0,2,0,1,0,0,0,0/0,6,四川,2017-12-03
李柯七,17,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,四川,2017-12-03
钟一帆,20,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,四川,2017-12-03
黄荣奇,7,6,否,0-1,0-0,0-0,0,0,0,0,0,1,0,0,0,0/0,0,四川,2017-12-03
杨越,6,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,四川,2017-12-03
赵杭,26,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,四川,2017-12-03
张瀚月,25,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,四川,2017-12-03
侯天一,14,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,四川,2017-12-03
陈辰,32,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,四川,2017-12-03
王政博,16,5,否,0-0,0-0,0-0,0,0,0,1,0,0,0,0,0,0/0,0,四川,2017-12-03
莫泰尤纳斯,12,43,是,12-19,2-8,3-5,2,7,3,3,4,3,1,0,7,0/0,33,山东,2017-12-03
丁彦雨航,8,35,是,4-9,6-13,4-5,0,5,2,3,0,1,0,1,7,0/0,30,山东,2017-12-03
睢冉,1,22,是,5-6,0-0,0-0,1,0,2,5,3,0,0,0,0,0/0,10,山东,2017-12-03
陶汉林,20,27,是,4-8,0-0,1-2,3,7,0,4,0,0,4,1,2,0/0,9,山东,2017-12-03
王汝恒,24,16,是,0-1,0-0,0-0,0,3,2,0,1,1,0,0,1,0/0,0,山东,2017-12-03
泰-劳森,3,31,否,7-9,1-3,1-2,1,2,6,2,1,2,0,0,3,0/0,18,山东,2017-12-03
张庆鹏,9,22,否,0-1,4-7,0-0,0,2,0,1,0,0,0,0,0,0/0,12,山东,2017-12-03
贾诚,32,19,否,3-6,0-1,0-0,2,4,1,3,0,2,1,0,1,0/0,6,山东,2017-12-03
张春军,27,15,否,1-1,0-1,0-0,2,1,1,5,2,1,0,0,1,0/0,2,山东,2017-12-03
吴轲,15,3,否,0-1,0-0,1-2,2,0,0,0,1,2,0,0,1,0/0,1,山东,2017-12-03
文雁行,17,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,山东,2017-12-03
张辉,4,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,山东,2017-12-03
李泓翰,7,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,山东,2017-12-03
李林,10,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,山东,2017-12-03
潘宁,5,2,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,山东,2017-12-03
焦海龙,0,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,山东,2017-12-03
朱荣振,35,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,山东,2017-12-03
