player,NO,Minutes,Starter,2Pt,3Pt,FT,OffReb,DefReb,Ass,Foul,Steal,TO,Block,Dunk,Fouled,Fast_break,Scores,team,date
路易斯-斯科拉,4,36,是,12-21,0-3,3-6,7,17,5,5,3,4,0,1,4,0/0,27,山西,2017-12-21
曾令旭,6,32,是,4-7,3-5,0-0,0,3,6,2,1,3,0,0,3,0/0,17,山西,2017-12-21
李敬宇,11,37,是,5-7,2-4,0-0,1,1,1,4,1,2,0,0,1,0/0,16,山西,2017-12-21
任骏威,26,31,是,5-8,0-2,0-0,0,1,0,3,1,2,0,0,0,0/0,10,山西,2017-12-21
邢志强,12,22,是,2-3,0-2,1-2,1,1,1,4,1,2,0,0,3,0/0,5,山西,2017-12-21
威利-沃伦,32,35,否,2-6,1-4,11-13,0,6,4,0,0,0,0,0,8,0/0,18,山西,2017-12-21
刘冠岑,17,15,否,3-5,0-2,0-2,0,2,2,1,1,1,0,0,2,0/0,6,山西,2017-12-21
闫鹏飞,9,8,否,1-4,0-0,1-6,3,2,0,0,0,0,0,0,3,0/0,3,山西,2017-12-21
张学文,33,5,否,1-2,0-1,0-0,0,1,1,2,0,0,0,1,0,0/0,2,山西,2017-12-21
班铎,23,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,山西,2017-12-21
王洪,13,3,否,0-1,0-0,0-0,1,0,0,1,0,0,0,0,0,0/0,0,山西,2017-12-21
王重阳,18,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,山西,2017-12-21
李旭,20,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,山西,2017-12-21
侯兴宇,15,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,山西,2017-12-21
王磊,8,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,山西,2017-12-21
原帅,7,9,否,0-0,0-1,0-0,0,0,0,1,0,0,0,0,0,0/0,0,山西,2017-12-21
沙威剑,19,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,山西,2017-12-21
张泽龙,24,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,山西,2017-12-21
J.J-希克森,44,41,是,15-22,0-1,6-13,3,14,3,3,1,1,1,1,11,0/0,36,同曦,2017-12-21
巴赫拉米,14,40,是,2-4,3-7,4-6,0,5,1,5,4,2,1,0,3,0/0,17,同曦,2017-12-21
宋建骅,8,39,是,1-2,5-9,0-0,2,6,1,2,3,0,0,0,3,0/0,17,同曦,2017-12-21
郭一飞,10,23,是,1-4,2-3,0-0,1,2,0,6,1,0,0,0,1,0/0,8,同曦,2017-12-21
冯欣,66,27,是,2-2,0-0,0-0,0,6,8,1,0,2,0,0,1,0/0,4,同曦,2017-12-21
杰里米-帕戈,11,30,否,6-12,3-9,3-5,1,1,5,4,0,5,0,0,4,0/0,24,同曦,2017-12-21
周仪翔,6,33,否,3-5,1-4,0-0,0,0,2,2,1,1,0,0,0,0/0,9,同曦,2017-12-21
唐正东,9,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,同曦,2017-12-21
乔文瀚,7,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,同曦,2017-12-21
黄子恒,13,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,同曦,2017-12-21
杨力,19,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,同曦,2017-12-21
张翌星,17,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,同曦,2017-12-21
何敬佳,20,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,同曦,2017-12-21
张财宝,22,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,同曦,2017-12-21
魏政贤,2,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,同曦,2017-12-21
王睿,25,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,同曦,2017-12-21
买尔丹,33,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,同曦,2017-12-21
冷振铎,12,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,同曦,2017-12-21
于长春,16,3,否,0-0,0-1,0-0,0,0,0,0,0,1,0,0,0,0/0,0,同曦,2017-12-21
毕鹏飞,23,0,否,0-0,0-0,0-0,0,0,0,1,0,0,0,0,0,0/0,0,同曦,2017-12-21
姜博,64,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,同曦,2017-12-21
