player,NO,Minutes,Starter,2Pt,3Pt,FT,OffReb,DefReb,Ass,Foul,Steal,TO,Block,Dunk,Fouled,Fast_break,Scores,team,date
翟晓川,20,40,是,6-9,2-4,8-10,3,6,7,3,3,4,0,0,7,0/0,26,北京,2017-12-24
方硕,8,37,是,4-7,5-6,1-2,2,0,5,4,1,0,0,0,2,0/0,24,北京,2017-12-24
汉密尔顿,41,33,是,7-15,0-1,3-7,4,3,1,2,1,3,1,0,7,0/0,17,北京,2017-12-24
朱彦西,13,23,是,0-0,1-4,0-0,0,3,0,4,0,2,0,0,0,0/0,3,北京,2017-12-24
王骁辉,33,30,是,0-1,1-3,0-0,2,1,0,4,0,0,0,0,0,0/0,3,北京,2017-12-24
艾伦-杰克逊,7,29,否,7-11,4-5,9-10,0,2,3,3,2,2,0,0,7,0/0,35,北京,2017-12-24
常林,23,25,否,3-6,0-0,2-3,2,2,3,4,1,1,0,0,5,0/0,8,北京,2017-12-24
吉喆,51,3,否,1-1,0-1,2-2,0,0,0,1,0,0,0,0,1,0/0,4,北京,2017-12-24
丘天,19,3,否,1-1,0-0,0-0,0,0,0,2,0,0,0,1,0,0/0,2,北京,2017-12-24
刘晓宇,10,5,否,0-0,0-1,0-0,0,1,0,0,0,0,0,0,0,0/0,0,北京,2017-12-24
王旭,4,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,北京,2017-12-24
王鑫磊,31,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,北京,2017-12-24
赵梓壹,17,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,北京,2017-12-24
段鸿瑞,29,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,北京,2017-12-24
张才仁,16,6,否,0-0,0-1,0-0,0,1,0,0,0,0,0,0,0,0/0,0,北京,2017-12-24
段江鹏,11,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,北京,2017-12-24
张松涛,35,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,北京,2017-12-24
张卓,22,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,北京,2017-12-24
布鲁克斯,2,42,是,8-15,5-9,8-8,0,6,5,3,2,3,0,1,9,0/0,39,江苏,2017-12-24
李原宇,16,39,是,7-7,0-2,3-7,2,4,2,5,1,2,0,0,4,0/0,17,江苏,2017-12-24
易立,8,36,是,2-3,1-2,4-5,1,1,1,4,4,1,0,0,3,0/0,11,江苏,2017-12-24
吴冠希,11,17,是,3-3,0-0,0-0,1,2,0,2,0,0,0,0,0,0/0,6,江苏,2017-12-24
曹飞,23,26,是,0-1,0-0,1-2,1,0,1,3,1,0,0,0,2,0/0,1,江苏,2017-12-24
拉杜利察,13,23,否,10-13,0-0,3-4,3,5,3,4,2,1,1,2,5,0/0,23,江苏,2017-12-24
史鸿飞,4,31,否,1-2,4-5,3-4,0,1,1,2,1,1,0,0,2,0/0,17,江苏,2017-12-24
柳伟,15,15,否,4-10,0-0,2-2,2,1,1,4,0,2,0,0,1,0/0,10,江苏,2017-12-24
常亚松,3,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,江苏,2017-12-24
戎浩峰,30,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,江苏,2017-12-24
吴俣成,27,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,江苏,2017-12-24
侯逸凡,31,6,否,0-3,0-0,0-0,1,3,0,2,0,0,0,0,1,0/0,0,江苏,2017-12-24
张有为,33,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,江苏,2017-12-24
刘亚晖,9,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,江苏,2017-12-24
陈磊,22,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,江苏,2017-12-24
刘磊,45,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,江苏,2017-12-24
