player,NO,Minutes,Starter,2Pt,3Pt,FT,OffReb,DefReb,Ass,Foul,Steal,TO,Block,Dunk,Fouled,Fast_break,Scores,team,date
萨林杰,0,34,是,10-16,2-5,6-9,4,19,5,1,2,3,1,0,8,0/0,32,深圳,2017-12-03
顾全,12,35,是,5-7,2-7,2-2,0,3,0,1,0,4,0,0,1,0/0,18,深圳,2017-12-03
于德豪,19,35,是,3-4,0-3,9-9,2,8,2,4,3,3,0,0,7,0/0,15,深圳,2017-12-03
李慕豪,9,25,是,4-10,0-0,2-5,0,2,0,5,0,4,1,0,4,0/0,10,深圳,2017-12-03
白昊天,10,18,是,1-1,0-0,0-0,0,1,2,2,0,1,1,0,0,0/0,2,深圳,2017-12-03
朗福德,5,35,否,8-19,2-4,3-4,2,5,4,3,2,0,0,0,3,0/0,25,深圳,2017-12-03
卢艺文,55,21,否,2-6,0-3,2-2,0,2,4,3,1,1,0,0,1,0/0,6,深圳,2017-12-03
何忠勉,20,14,否,2-2,0-1,1-2,0,3,0,2,1,0,0,0,1,0/0,5,深圳,2017-12-03
郭晓鹏,1,2,否,1-1,0-1,0-0,0,0,0,2,0,1,0,0,0,0/0,2,深圳,2017-12-03
李想,16,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,深圳,2017-12-03
韩驭丰,14,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,深圳,2017-12-03
邱彪,13,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,深圳,2017-12-03
容子峰,25,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,深圳,2017-12-03
刘春庆,33,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,深圳,2017-12-03
张凯,7,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,深圳,2017-12-03
杨林祎,6,1,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,深圳,2017-12-03
沈梓捷,28,14,否,0-1,0-0,0-2,2,1,1,2,0,0,0,0,1,0/0,0,深圳,2017-12-03
孟铎,3,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,深圳,2017-12-03
王昱尧,35,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,深圳,2017-12-03
曾令旭,6,30,是,5-8,1-3,4-4,0,3,2,3,3,4,0,0,3,0/0,17,山西,2017-12-03
路易斯-斯科拉,4,32,是,2-8,2-5,6-8,2,14,2,2,1,3,0,0,6,0/0,16,山西,2017-12-03
李敬宇,11,23,是,3-6,1-4,0-0,0,6,1,2,0,2,0,0,2,0/0,9,山西,2017-12-03
任骏威,26,33,是,4-6,0-1,1-2,1,6,0,4,3,1,1,0,1,0/0,9,山西,2017-12-03
原帅,7,27,是,0-1,1-4,5-6,1,0,2,2,1,1,0,0,3,0/0,8,山西,2017-12-03
詹宁斯,3,35,否,7-14,1-6,8-15,1,3,8,3,3,2,0,0,10,0/0,25,山西,2017-12-03
闫鹏飞,9,25,否,5-8,0-0,0-0,0,3,0,4,0,0,3,0,0,0/0,10,山西,2017-12-03
刘冠岑,17,17,否,1-2,1-3,0-0,0,2,1,3,1,0,0,1,0,0/0,5,山西,2017-12-03
王洪,13,5,否,1-2,0-0,0-0,1,0,1,0,1,0,0,0,0,0/0,2,山西,2017-12-03
班铎,23,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,山西,2017-12-03
王重阳,18,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,山西,2017-12-03
李旭,20,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,山西,2017-12-03
侯兴宇,15,4,否,0-2,0-0,0-0,0,1,0,2,0,0,0,0,0,0/0,0,山西,2017-12-03
王磊,8,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,山西,2017-12-03
张泽龙,24,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,山西,2017-12-03
邢志强,12,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,山西,2017-12-03
沙威剑,19,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,山西,2017-12-03
张学文,33,4,否,0-0,0-1,0-0,0,0,0,1,0,0,0,0,0,0/0,0,山西,2017-12-03
